Will / Jorge - Pair Programming 
Wed, Aug 7, 2024

0:04 - Jorge Lewis So yeah, so let's do the, what do I wanna work on today? The signup stuff?
31:45 - Jorge Lewis Yeah, that's the tough thing. It's like what works, works is great. But then learning to like growing is just trying these new things that make you feel uncomfortable. Like it was super uncomfortable for me to learn NeoVim, but I learned it. I tried it and it just doesn't work. Like now I know at least. So if people say, oh, you should use NeoVim. I can say, oh, I did. Because a lot of things, when people say, oh, use NeoVim, or sorry, use Vim at least, it's just because they heard Providion say it once and twice and ten times, and now they're just robots saying, oh, use Vim. Use Linux.

32:21 - Will Vincent Parrone Yeah. Wait, what's the name of the env file again? This is it, right? The public super base URL.

32:29 - Jorge Lewis Yeah, are you... Let me send you the new one because... Okay. U.S. Edited it a little bit.

32:41 - Will Vincent Parrone Okay. I remember. Go ahead. There's just this aspect.

32:48 - Jorge Lewis Also, make sure you pull from Alpha because I've been making some changes. Alright, so I'm saying Google Meets. There's just one more variable.

32:57 - Will Vincent Parrone Okay. I'm in Alpha.

33:01 - Will Vincent Parrone Um...

33:07 - Will Vincent Parrone Okay, public base URL localhost 8080, okay.

33:12 - Jorge Lewis Yeah, viewers had a little bit of a confusion with some of the variables and what they were doing, but yeah.

33:20 - Will Vincent Parrone Okay, I think this can work now.

33:26 - Will Vincent Parrone Okay, let's see.

33:32 - Jorge Lewis Actually, you might need...

33:38 - Will Vincent Parrone Hmm.

33:39 - Will Vincent Parrone Go to app. Oh, now it works.

33:46 - Will Vincent Parrone Let's see.

33:47 - Will Vincent Parrone Let's see indeed. OK.

33:58 - Jorge Lewis And one thing I've actually noticed that I'm not going to make a conclusion yet or an opinion on yet, I think a hypothesis I have is that people use Vim and Linux to be more efficient. But what I've noticed is that it's contrary because when I'm watching people code on Windows and code on Linux, the people that code on Windows are less flashy, they're using their mouse, maybe they type a little bit slower, but they're more efficient. So it's a hypothesis that I have that people that use Linux blindly because it's better or it's more efficient end up kind of shooting themselves in the foot. It's a hypothesis I have.

34:42 - Will Vincent Parrone I think it's because the value is so like, like the learning curve is a lot, lot harder than it looks. That's why you have to spend literally like two to three years. In order to actually be 1.5 times better than the average dev.

35:06 - Jorge Lewis Most people, the best companies in the world don't use Linux, they use Windows.

35:13 - Jorge Lewis Using Linux doesn't make you a better developer, doesn't make you a better engineer. It's supposed to make you more efficient but what do engineers need to be more efficient? They don't need to type 1.5 times faster, typing isn't the problem. CDing into the right repository isn't the problem. Using a text-only IDE isn't the problem.

35:35 - Will Vincent Parrone Actually, that's something I think that's where we would disagree. However, something we could agree on is that if you just follow trends blindly without considering your personal circumstances, you're really going to shoot yourself in the foot. And also, what's the key? I mean, like, yeah, for some people, VS Code works for them. For some, doing Linux, Vim, and all that stuff works for them, because they've custom made it for their specific circumstances. So it makes perfect sense that they're going to be better developers.

36:22 - Jorge Lewis But it's interesting. Go on.

36:27 - Will Vincent Parrone Basically, I see a lot of people just use Vim, use Linux for the reason that their influencers did it without much research and they're having plenty of problems because they did not expect that they're going to be making some sacrifices along the way.

36:52 - Jorge Lewis That's a good reason. I agree with that. To get good at Linux, you need to dedicate specific time to be good at Linux and Vim and stuff like that. It's not something that you learn over time, it's something that you need to learn, you need to actually do it. And which most people don't do because they have other things to do. For me, I can't spend time, me personally, it's on a person-to-person basis. I have business calls to get to, I can't be saying, sorry, let me SSH into my Google Meet server or something like that.

37:28 - Jorge Lewis For me, it doesn't work. For me, I'm a unique person, but for other unique people, it also doesn't work for them. They have to work. If you're in school, I would definitely recommend learning Linux because why not? That's growth. You don't have to end up using it in your career, but learning it is great. Learning things is always great.

37:52 - Will Vincent Parrone What did I do here again? So basically, we're just going to add another column here, right?

38:00 - Jorge Lewis Yeah, pretty much add a column and then connect it to the database.

38:05 - Will Vincent Parrone Wait, I remember, let me just review the super base types again. Oops.

38:23 - Will Vincent Parrone So where is to do?

38:32 - Will Vincent Parrone One is to one.

38:36 - Will Vincent Parrone Is this updated? I don't think so.

38:46 - Jorge Lewis Also, sometimes it's not a matter of this or that. Sometimes it's a matter of this and that. Like, I use a Vim, I use a NeoVim environment in my VS Code.

39:00 - Jorge Lewis Oh, really?

39:04 - Jorge Lewis It's a mentality that my friend told me while I was in Thailand. He's like one of the best engineers along with Jonas and Nazif that I've met. It's a matter of, oh, don't use, well, why would you have to use one or two? Why do you have to use Linux or Windows? Why not use both? Why not use VS Code and Vim? Use both worlds.

39:23 - Will Vincent Parrone Oh, yeah, yeah, yeah. It's actually a good compromise.

39:29 - Jorge Lewis Because in today's world, where the influencers are saying a lot of true things, but people follow them blindly, it's a good kind of reminder. Oh, but trust me, I felt so cool using NeoVim in the airport. In the airplane, I was like, yeah, the people behind me can see me just using Vim. I bet they use Windows. I bet they use VS Code.

40:00 - Will Vincent Parrone What's this? Exit your status entry.

40:08 - Will Vincent Parrone Wait, let me see the web and px super basic. Yeah, anyways, the problem that I'm trying to fix is basically when determining whether the types here in the superbase.ts are accurate.

40:32 - Jorge Lewis I would update them regardless.

40:38 - Jorge Lewis They should be, but just, yeah, never hurts. Actually, I can do it for you just to double check in case you're having too many problems.

41:03 - Will Vincent Parrone I'll Shift-C, Alt-Tab, V, superbase.com, continue with GitHub.

41:16 - Will Vincent Parrone Well done, now close this window. And then...

41:26 - Will Vincent Parrone We copy, exit, and then...

41:33 - Will Vincent Parrone So we go bash, update superbase tags.

41:38 - Will Vincent Parrone Hmm. Plus x.

42:00 - Will Vincent Parrone There we go. Packages.

42:09 - Jorge Lewis Like one thing also that I've noticed, I'm not here to attack Linux users, I like Linux, I do. But one thing that I've noticed is that for people using Vim and Linux, you're often fixing your operating system and your tools rather than developing. I think that's one of the biggest arguments.

42:30 - Will Vincent Parrone It's basically a personal attack, but it's accurate to...

42:37 - Will Vincent Parrone Like, fuck you, but like, yeah, that is us.

42:44 - Jorge Lewis Okay, the types are updated, so don't worry.

42:48 - Will Vincent Parrone Okay, let me try to pull.

42:50 - Jorge Lewis Oh, actually, wait, let me push. I have changes here, though.

43:00 - Jorge Lewis There's quite a- Bewis is still learning. He's using a lot of tri-catches, so... Prepare your eyes. If you don't, yeah.

43:10 - Will Vincent Parrone Oh, don't worry, I also use tri-catch. If it works, it works.

43:15 - Will Vincent Parrone That has been my mentality. Wait, let me just...

43:23 - Jorge Lewis I hate this saying because it's just so cliche, but everything's a balance.

43:55 - Will Vincent Parrone What's happening with my... Ah, anyways.

44:03 - Jorge Lewis Look at how inefficient you are, you don't have a shortcut to nvim, just vi. Come on.

44:09 - Will Vincent Parrone Now my vim is lagging like crazy.

44:14 - Jorge Lewis It was a funny topic discussion we had, Jonas, with this Swedish developer that I told you about just now. Jonas didn't set up a shortcut to his neovim command, whereas the Swedish guy puts vi instead of envim. It was just funny because it's like two characters doesn't make you more efficient, but it's just so funny. I don't know. It's like the inside the head of a developer. We're going to spend 10 hours making that shortcut to save no time, but we're satisfied.

44:47 - Will Vincent Parrone Yes, that is us.

44:54 - Will Vincent Parrone Yeah, okay. I'm just going to pull if there are any changes. Wow. Okay. This is from Alpha 2.

45:08 - Will Vincent Parrone Let me see what has changed.

45:14 - Will Vincent Parrone I'm getting a bit dyslexic. Let's see. To do. What's the name of

45:22 - Jorge Lewis I think it's done, done.

45:24 - Will Vincent Parrone Done. Oh, okay, okay.

45:33 - Jorge Lewis Oh, wait. Actually, sorry, I think the table that you're, like the table that's showing on the front end there, that's actually the leaps table, not the evaluated submissions table. And I haven't added that done to, The leads table. So I'm going to do that right now. So you're going to have to actually...

45:54 - Will Vincent Parrone That explains it. That explains the issues I'm having. Okay.

45:59 - Unidentified Speaker Oh no.

46:01 - Will Vincent Parrone In my other laptop, I was trying to forcibly justify the leads. I was forcibly trying to justify the done table. Okay. I'll wait for it.

46:11 - Jorge Lewis Okay, I've added it Let me do you have the super base generate command a hand or should I do and push?

46:21 - Jorge Lewis Can you do it?

46:23 - Jorge Lewis Yeah, I got it. Thanks. All right All right, I think I sent it or I pushed it Okay.

46:48 - Will Vincent Parrone Space BD.

46:50 - Jorge Lewis I'm actually going to paste the command in the project so that we have it at hand.

46:57 - Will Vincent Parrone Leads. We have done. Okay. There we go. Lovely.

47:05 - Will Vincent Parrone I think it is in project. No, no, not projects.

47:11 - Will Vincent Parrone Resizable panel, data table, lead data, deeds.

47:16 - Jorge Lewis So where we want to move the button to, so okay, so actually let's think about this. So I actually thought about this as well. What's the, let's take a look at the front end real quick. And instead of trying, there's an easy way and there's a hard way, I realized. So the left side there is a data table. It's using ChefCN. It's pretty complex compared to the right side, which is straight up just very simple stuff. So I realized if we move the button or the toggle to the right side, it'll make things a lot easier. We don't have to worry about the data table stuff.

47:50 - Jorge Lewis But if you want to learn more about the data table and how it works, I'm more than happy to.

47:58 - Will Vincent Parrone Yes, cool. I already suffered.

48:03 - Jorge Lewis I need to learn a bit more about it as well. But the only thing is I haven't had the time to learn it properly.

48:12 - Will Vincent Parrone Yeah, me too. Let me try to remember the last thing I did. Okay, here we go. Basically, I'm going to be copy pasting this.

48:27 - Will Vincent Parrone Since this is a boolean one, create render.

48:32 - Will Vincent Parrone Relative dates. And I'm going to be Copying this one.

48:43 - Will Vincent Parrone Copy relative date. So let's call this relative to do.

48:49 - Jorge Lewis Oh, actually, it's actually already there. It's started, I think. Dang it. Okay.

49:03 - Jorge Lewis On a general note, I wonder if it's a good practice to suffix the files that are cells, like with a dash cell, I wonder. I don't know.

49:12 - Will Vincent Parrone I mean, it's for readability purposes. It's always a good thing.

49:20 - Will Vincent Parrone Let's call this then. Let's call the done button. Let's see what happens.

49:27 - Will Vincent Parrone Relative.

49:38 - Jorge Lewis Like, see, for... Do you have GitHub Copilot in general, or...?

49:41 - Unidentified Speaker Huh?

49:43 - Jorge Lewis Sorry?

49:44 - Jorge Lewis Do you have GitHub Copilot?

49:48 - Will Vincent Parrone No.

49:51 - Will Vincent Parrone I am only using a language server here.

50:01 - Will Vincent Parrone RelativeDateCell... RelativeDateCell... What's the name of this again? DoneButton... ItemValue...

50:18 - Will Vincent Parrone What's the, uh... Okay, ID...

50:27 - Will Vincent Parrone Item.ID...

50:38 - Will Vincent Parrone I'm not sure if actually this is correct.

50:52 - Will Vincent Parrone Okay, I think this is lead.

50:57 - Will Vincent Parrone No, what is this?

50:59 - Jorge Lewis So I actually tried working on this at some point, but I don't know what happens.

51:16 - Will Vincent Parrone Okay, let's see. What is data body cell? Data body cell.

51:25 - Will Vincent Parrone Table color, I know you're rendering an item, so the thing I would have to do is find out what contains the lead.

51:37 - Will Vincent Parrone Okay.

51:42 - Will Vincent Parrone Yeah.

51:46 - Will Vincent Parrone Nevermind, that's a dead end. Insert columns, table, create columns, status, assessor, status. Property done does not exist.

51:57 - Unidentified Speaker Data.

51:59 - Jorge Lewis So what's item.value?

52:01 - Jorge Lewis What is it? What is...

52:06 - Jorge Lewis Oh, wait. Have you... No, you just... I think it's because you haven't... It hasn't updated your types yet, your ID.

52:16 - Will Vincent Parrone Oh, right, right, right.

52:19 - Will Vincent Parrone Maybe?

52:20 - Will Vincent Parrone Let me try to...

52:23 - Jorge Lewis You know what's funny? That's the most Vim thing I've seen right there. You have to close the entire IDE to get it refreshed. Vim is just like, oh, it broke. Close it and reopen it.

52:40 - Will Vincent Parrone And this is the IT equivalent of, have you tried turning it on and off? Oh, wait, it is working, huh?

52:47 - Jorge Lewis But you changed it to value. Try done. I wonder.

52:50 - Unidentified Speaker Wait.

52:52 - Jorge Lewis Because I have no clue what value.

52:59 - Will Vincent Parrone There's no error message. OK.

53:01 - Jorge Lewis How do you read the type? Can you open the type of value or item?

53:15 - Will Vincent Parrone Not able to do it. Weird.

53:18 - Jorge Lewis Try value.

53:26 - Will Vincent Parrone Value extends body cell. Oh, right.

53:30 - Jorge Lewis Okay, I can see it here. Let me send it to you. Let me send a screenshot.

53:40 - Jorge Lewis So item.

53:44 - Jorge Lewis This is probably just useful to know about the data table structure.

53:49 - Jorge Lewis Okay, so I sense that's the item data structure, and then here's the value data structure.

53:57 - Will Vincent Parrone Wait, where did you send it? Discord?

54:00 - Jorge Lewis Read.AI tool, sorry. Yeah, Discord.

54:03 - Will Vincent Parrone Okay. Waiting for... Ah, okay. Read.AI tool, I suppose.

54:13 - Unidentified Speaker Dang.

54:14 - Jorge Lewis Jump to present. Click to jump to present, yeah.

54:18 - Jorge Lewis So Jonas just sent a screenshot.

54:23 - Will Vincent Parrone Yeah, I saw it either way, it's okay.

54:28 - Will Vincent Parrone Value, data body, cell comment, data discovered.

54:33 - Jorge Lewis It's the same data type as a lead. So it is a lead but just it's synonymous with the lead but different.

54:42 - Will Vincent Parrone Yeah, so I was correct. I mean, partially correct.

54:49 - Jorge Lewis So you should be able to do item.done. But I think the language server or the type checker, what is it called?

54:57 - Will Vincent Parrone It doesn't like it. Language server.

55:05 - Will Vincent Parrone Item. Oh, wait, wait, wait. Yep, yep, I can hear you.

55:10 - Jorge Lewis Yeah, is he with us?

55:16 - Jorge Lewis Wait.

55:17 - Jorge Lewis Yeah, we're not programming session real quick. We're tired of being bothered. I'll get back to you when we're done in like... 30 minutes-ish?

55:30 - Jorge Lewis Is he awake?

55:33 - Jorge Lewis Yeah, he'll reply to you.

55:35 - Jorge Lewis Okay, yeah, could you deal with that? Maybe try.

55:50 - Will Vincent Parrone Screw it, I'll see if it works. I'll refresh.

55:59 - Will Vincent Parrone Okay, I see, internal error. Okay, what the hell did I do? What the hell did I do?

56:19 - Jorge Lewis Try again, I guess, I don't know, cuz it's a little bit, what even happened?

56:24 - Will Vincent Parrone I don't know, is my server getting half plug-in code VSS did?

56:31 - Will Vincent Parrone Maybe a stop overflow or something, let me try. Item.done. What the fuck is this?

56:47 - Will Vincent Parrone I'll be right back, I'm gonna use the restroom.

56:49 - Will Vincent Parrone Yep.

58:39 - Will Vincent Parrone so let's see let's see let's see prospect username status discover dot header done what did I do wrong So why didn't item.done work?

59:14 - Will Vincent Parrone Both of them did not work. I tried item.done. I'll try to check.

59:21 - Jorge Lewis Maybe casting item.done as a boolean?

59:25 - Unidentified Speaker No.

59:33 - Will Vincent Parrone Oh, wait. No.

59:35 - Will Vincent Parrone Let me try to smash this first.

59:44 - Will Vincent Parrone Wait, get diff. What did I do wrong? What did I change? Okay, the spacings...

59:53 - Will Vincent Parrone I changed the spacings. Oh no, this is not gonna help me.

59:58 - Unidentified Speaker God.

1:00:02 - Will Vincent Parrone Okay, I have an idea.

1:00:19 - Will Vincent Parrone Okay, restart the server.

1:00:24 - Will Vincent Parrone Hopefully.

1:00:28 - Will Vincent Parrone Of course, why did I not check the console logs first?

1:00:37 - Will Vincent Parrone So it's not.

1:00:47 - Will Vincent Parrone Okay, I believe it's not the table's fault.

