Hasnain / Jorge - Pair Programming 
Thu, Aug 8, 2024

0:03 - Jorge Lewis Hey there, hi, how are you?
14:39 - Jorge Lewis But so his old, his end goal for the synthetic user is to pretend to be a user and generates a, a synthetic conversation. So synthetic data. Okay. But there's some things, so for example, I want to, let me share my screen actually.

15:09 - Jorge Lewis Can you see?

15:10 - Jorge Lewis Yeah, I can see.

15:11 - Jorge Lewis Do you know the URL to the app?

15:16 - Hasnain sayyed Yes.

15:30 - Hasnain sayyed So let's send you.

15:32 - Hasnain sayyed Oh, yes, please.

15:34 - Hasnain sayyed Send in the chat.

15:43 - Jorge Lewis Okay. So, so here, wow, that's a lot of users. Um, so here is, is this is like kind of a, just a temporary kind of page for selecting a user where after we use user authentication, will be gone. But what I was thinking is, since these are all users, or actually, no this should probably be in the admin panel. So you see how I have to select profile when I want to modify the prompts.

16:22 - Jorge Lewis So what I'm thinking we do is somewhere on the sidebar, we can have a page called simulation. And in that simulation, we have a button. We can configure the synthetic user. So a synthetic user can have the properties of this. So we can tell it its main objective to test, and then What else? We can just give it some background, like personality. Or give it a user profile. Or goal, maybe.

17:20 - Jorge Lewis Yeah, so this is the goal, the main objective. So this can also be, This can be generic.

17:36 - Jorge Lewis So just no goal.

17:41 - Jorge Lewis A synthetic user needs the prompt, it needs to understand, or we need to tell it who it is. So it's a user, or you are chatting with a life coach bot, you know, and tell it the thing. So we need to give it, tell it who it is and what.

18:13 - Jorge Lewis You are the person So, uh, hardships might be.

18:32 - Jorge Lewis Oh, so what we also need to do, which is quite important, is simulating multiple days because the chapel actually uses time.

18:47 - Jorge Lewis We need to make sure that... Because if they just keep chatting, there won't be, for example, a new check-in, right? Because check-ins are made on a day.

18:58 - Jorge Lewis We need a way to...

19:07 - Hasnain sayyed a way to simulate time to control time based on time interval we can have the chatting with the synthetic like per day or one hour two hour maybe maybe even like per 10 minutes right oh yeah 10 minutes Um...

19:59 - Hasnain sayyed But over here, every synthetic user will have a different kind of personality, right? Like the few short.

20:08 - Jorge Lewis So I don't understand that part. I don't, I don't think so. Can you, can you kind of keep going?

20:13 - Hasnain sayyed Yeah. So, so like if admin has the capability to create multiple synthetic users, so each user which is created will have a similar kind of personality or like the talking or the chatting way, like the few shots that we are giving to each synthetic user, like the history or data or each synthetic user will have a different kind of knowledge.

20:43 - Jorge Lewis Um, they, they should be mostly the same. So like, um, let me come up a little wireframe here. How do I, So we have, so we can give it name.

21:09 - Hasnain sayyed We can give it personality.

21:14 - Jorge Lewis We can give it goal. It's objective. So this, just a little note.

21:25 - Jorge Lewis Objective is a behavior of adapt that the synthetic user is trying to test or exploit. What else?

22:06 - Jorge Lewis I guess the profile information, so just the stuff that's in the super base in the profile table. So every user has, so we need to assign it like things like it's goal.

22:32 - Jorge Lewis Let me just check. Ah, I'm going to have to sign in. But you get what I mean. Within the profile information, there's their goal, their Y, weight, height.

22:57 - Jorge Lewis Basic onboarding.

22:59 - Jorge Lewis Yeah, like all the information we gather from the onboarding, exactly. So what else?

23:06 - Jorge Lewis I guess it's a list that we can copy from onboarding. So I think with that, there's probably going to be things that pop up that we can't see right now, but I think we might as well get started in this development. There's some things we can start on.

23:25 - Jorge Lewis Yeah.

23:30 - Jorge Lewis So one thing, since we're working on the AI stuff only, for creating synthetics users, we can, since we don't want to work on any of the front end, we can just use directly in super base. We can manually create a table and manual create rows. All right. So I'll hand it off to you. Yeah. So we'll, There's different ways pair programming sessions work. You can do like pilot driver or what is it? Driver. I don't know, but what I'm going to do is I'm going to let you lead the way and I'm going to kind of chime in here and there.

24:14 - Hasnain sayyed Okay. So, uh, what things should I start with? Like

24:22 - Hasnain sayyed Can we just create the flow like the first we will be working on this, then this, then this, because there are multiple things in this module.

24:38 - Jorge Lewis Let's create a very basic system. So what do we need in order to simulate a conversation? What is the requirement?

24:47 - Hasnain sayyed The first thing is data, of course, because, uh, it is a fake user, first of all. So, uh, the table that you have created, we need that then the prompt, uh, the basic few short, like, uh, the knowledge, uh, on the basis of which the fake user will chat with the agent. So that's the main thing. And, uh, uh, the function functionality, like, uh, to automate this thing, uh, because, uh, the API only hits when, uh, event on click event will trigger. So we have to create a functionality for that. Uh, so that, uh, on each day, 10 minutes.

25:24 - Jorge Lewis The, the, the one where we, because the user we're not, we don't have a real user anymore. We're not sending a message. So we have our AI system and we have the user, but we probably use it more. So we're going to have to replace it with the synthetic user.

25:43 - Hasnain sayyed Yeah, correct. So that's what I'm telling. We have to create a function. So then we can start with that.

25:51 - Unidentified Speaker Okay.

25:53 - Jorge Lewis Yeah, keep going. Which one? We're going to have to probably work and make, yeah.

26:04 - Jorge Lewis Your voice is breaking. We're going to, we're going to have to work.

26:09 - Jorge Lewis No, it's cause I think, I think there's a bit of a delay, so we keep cutting each other, but we're going to have to work on super base probably to create some manual things.

26:18 - Jorge Lewis Okay.

26:22 - Jorge Lewis All right. So let's open the project. Start your screen share. Do you use this code or VS code?

26:31 - Jorge Lewis Okay, cool. Can you share a live share link?

26:35 - Hasnain sayyed Okay, should I open that app project or? Yeah, yeah. Okay.

26:46 - Hasnain sayyed Just a second. I just pulled the latest one.

27:03 - Hasnain sayyed On which branch should I pull?

27:13 - Jorge Lewis Just a second.

27:18 - Jorge Lewis Probably alpha. I don't know.

27:21 - Hasnain sayyed Just a second.

28:19 - Hasnain sayyed Yes.

28:25 - Hasnain sayyed I'm now in alpha right now.

28:32 - Hasnain sayyed Do you mind sharing your screen, by the way?

28:34 - Hasnain sayyed Yeah, yeah, sure.

28:41 - Jorge Lewis Show the whole screen so I can see the web server as well as the super-based things you're doing.

29:24 - Hasnain sayyed So first in the super base thing.

29:34 - Hasnain sayyed Should we create the function to dynamically create this synthetic user or first we should manually interrupt the thing or what else?

29:48 - Jorge Lewis So to start off, since that's kind of not the creating a synthetic user is part of what we can do, but I think we should start off with making a synthetic user and then go from there. But, but we have to think, yeah.

30:07 - Jorge Lewis So let's create one in the super base first.

30:16 - Hasnain sayyed So we have to create a new column for that, right? Because we don't have to merge the real users with the synthetic one.

30:29 - Jorge Lewis Or what say?

30:30 - Hasnain sayyed That's what I was thinking as well.

30:32 - Hasnain sayyed or just create a column here a new table or a new column right the column will identify like a real user or a synthetic user what say exactly what I was saying but my concern is that this table is

30:49 - Jorge Lewis linked to the chat one the id is linked to if you can see the um no it's linked to the users table that superbase uses for authentication So we can create a new profiles and you try to.

31:12 - Jorge Lewis If you tried to create a new row, it won't work like it because you need the ID needs to be linked to a insert the green button near the top.

31:31 - Jorge Lewis the green insert button above ID. I can draw on your screen, I think, right? No, let me see. I'm trying to see how I can color. Oh, you have it there.

31:51 - Jorge Lewis Oh, here we go.

32:01 - Jorge Lewis Hmm, I guess only you can.

32:07 - Jorge Lewis But do you see the insert button? It's green, near the top.

32:17 - Jorge Lewis Insert button? Yeah.

32:18 - Jorge Lewis A little bit left.

32:21 - Unidentified Speaker Yeah.

32:22 - Jorge Lewis Try to insert row. And you'll see that the ID has a foreign key relation to the users table, which means that unless we create a new user in the users table using super-based authentication, we can't create a new row in this table. So that's going to prevent us from creating synthetic users like we might want to with that.

32:48 - Jorge Lewis So like you proposed, I think we're going to have to make a new table. And even if we can later add just a column in the profile table, it takes five minutes, right? So it's better to kind of just start. So let's make a new table. Synthetic user or synthetic profile maybe to keep it the same.

33:21 - Hasnain sayyed Should I off this RLS, the rule level security because I think it's disabled. Yeah, turn it off, turn it off.

33:33 - Jorge Lewis We don't want to, it'll be, it'll be annoying. It just, the best practice is before you go to production, you want to turn all those on, but

33:41 - Jorge Lewis Hmm. Correct.

33:45 - Hasnain sayyed So the, attributes will be, ID is already there, created at.

33:54 - Jorge Lewis So this is going to be the same as, um, actually we kind of did a little bit. We need the name, personality, or anything.

34:05 - Hasnain sayyed Can you copy paste over here? It will be fast. Like the name of columns, because it needs to be similar.

34:18 - Jorge Lewis The, um, I'm still trying to sign into the super basic account. Um, does super base have like sign in with, uh, Google?

34:33 - Jorge Lewis Yeah, yeah, it has.

34:37 - Jorge Lewis Yeah, that's exactly, but I can't see it.

34:41 - Jorge Lewis Um, no, I mean like, it's its own platform.

34:52 - Hasnain sayyed Oh, so I don't think so.

35:07 - Hasnain sayyed Or else I can copy paste over here.

35:10 - Jorge Lewis Um, Oh, there we go. I'm in. Nice.

35:41 - Hasnain sayyed I'm just writing the column attribute. So I just copy paste.

35:51 - Jorge Lewis What I want to note on though, what I want to note on is that this synthetic user for example first name and last name hmm they don't need to be separate I think what do you think like or actually

36:09 - Hasnain sayyed huh actually no they do yeah I think it needs to be identical to the profile table yeah yeah um Because the functions, uh, if they're going to be using the first name, it's not using, uh, it's needs to be similar because there will be other, uh, the data is null. Okay.

36:32 - Jorge Lewis Yeah, exactly. So what I've also noticed though, is that the code right now is using, um, is using the profiles table, right? So if we want to make it use the Profiles table or the synthetic user table without having to rewrite all the code Should we use like an if state like should we in the request to call the AI? That we probably need to add a parameter or something like synthetic so that we can add an add a an if operation so like if this is synthetic use the The synthetic table does that make sense?

37:10 - Hasnain sayyed Yeah. Yeah, I What I am thinking is, while the first flow, the Q1 created the synthetic user, then we have to create an external function which gets the ability for that agent, the synthetic user, to automatically chat with the agent. So we have to create that function. And the graph will be same, of course. The flow and the graph, the functions will be same. We just have to create a functionality that will automate the synthetic user to pass the message or the prompt or whatever, the query. Automatically, once it has received the agent response, then the user will automatically send That's the main rule over here. Because this is just a data. Sorry, I just clicked on Zoom. Yeah. So this is just, uh, you know, uh, the character or the character building thing. We can say, Oh, one thing we can do, we can, uh, I can just discard here. I can just come here. Uh, should I download this? Should I download this in CSV and directly, you know, or create a new table like the synthetic and import that thing? It will be much more easier.

38:31 - Jorge Lewis Yeah. And then, um, and then just modify from there.

38:35 - Hasnain sayyed Yeah. Yeah. It's easy then because manually entering will take much more time.

38:45 - Hasnain sayyed Yeah. And just let's see CSV.

38:52 - Hasnain sayyed Okay. I just need to drop you.

38:59 - Hasnain sayyed Okay. It has come here.

39:01 - Unidentified Speaker Save.

39:13 - Hasnain sayyed Uh, the primary key will be the ID, right? And yes, save.

39:21 - Jorge Lewis Can I see the, the, the prop, the columns like that? You scroll down a little bit.

39:33 - Hasnain sayyed Yeah. We can create, uh, it's adding the column.

39:38 - Jorge Lewis The ID should be you, you ID.

39:44 - Jorge Lewis OK.

39:44 - Jorge Lewis I think it's a little bit too late, but

39:50 - Hasnain sayyed It has added. OK. We can edit here.

40:04 - Hasnain sayyed I think it won't change now.

40:07 - Jorge Lewis Yeah, that's what I thought.

40:12 - Hasnain sayyed Come on, come on, come on.

40:13 - Hasnain sayyed Yeah. I think it's updated. Yes. It's updated.

40:20 - Unidentified Speaker Luckily.

40:21 - Jorge Lewis All right, cool. Um, okay. So that's, that's nice. All that done. And now we can, we can, I think we can delete all except maybe two.

40:32 - Unidentified Speaker Okay.

40:35 - Jorge Lewis Um, In case you didn't know, if you click the button, the checkbox button on the same row as the labels, it does all. Yeah, yeah.

40:51 - Hasnain sayyed The dark UI, it's hard to find the options.

40:56 - Jorge Lewis Ah, you're on a laptop. Yeah, you're on a laptop.

41:01 - Jorge Lewis Yeah, I have the same problem. When it's nighttime for me and I put my monitor on like a lower brightness, all the dark UI starts to kind of fade in.

41:15 - Jorge Lewis Now we can go into the code and start working.

41:26 - Jorge Lewis Let's see what we're missing from this that we might need. We need to tell the agent.

41:35 - Jorge Lewis We need to tell the agent, the synthetic profile, who it is or what its objective is. Because like me as a user, I know what I'm doing. So I think we can add a column for prompts. So if you go to the, if you scroll left a little bit.

41:58 - Jorge Lewis Sorry, yeah, left, left. Yeah, no, the other way, the other way.

42:04 - Jorge Lewis More, more. There's a prompts column that I'm looking for.

42:07 - Hasnain sayyed Yeah, it's there.

42:10 - Jorge Lewis So here, so this column in a real profile is connected to the admin page. But since this synthetic user is not accessing the admin page, I think we can change it. I think we can change the structure of it.

42:28 - Jorge Lewis I wonder if Yeah, I think that should be fine. Let's do that. So in the structure of the...

42:42 - Jorge Lewis I'll also share my screen, by the way.

42:44 - Jorge Lewis Yeah, yeah, please, please.

42:48 - Jorge Lewis And that way we can just go back and forth.

42:50 - Hasnain sayyed Yeah, yeah. What I'm thinking is...

42:55 - Hasnain sayyed Should we add an option to the admin panel, like, or get a, like, if the flow that we have decided will add a similar kind of user, because we haven't created any option to, you know, change the user character or the few short prompt, whatever. So we can have some options to admin that, like four or five examples, we have to, create that data. And whenever the user clicks on, whenever the admin clicks, like, yeah, I need this character, I need this synthetic user character, maybe like a goal will be different for that synthetic user. Have you got the point?

43:43 - Jorge Lewis Yeah, so you see my screen share.

43:59 - Jorge Lewis We have input fields for the prompt We have input fields for the prompt so they They can go in here and modify the prompts in the same way. I think we can modify the prompts of the the characteristics of the the Synthetic guy. So for example, what I can do is I'll I'll kind of, actually let me take a screenshot of this. So what I want is a button here that says synthetic users. Something like this maybe. And when it opens it, let me just kind of make this empty.

44:53 - Jorge Lewis Okay, so pretend like I've just, there. So here, what I think we can do is have, so I think what we'll have is two tabs. We'll have manage users.

45:24 - Jorge Lewis And then we'll have a new user.

45:33 - Jorge Lewis So the managed users, what it's going to do is help with being able to remove, or actually just, okay, I have an idea actually. So when you go to, synthetic users, the UI will look like a table with all of the properties. And then we can have a button at the top. Can I move this? A button at the top.

46:14 - Jorge Lewis Add new synthetic user. And when you click this, it opens a pop-up.

46:25 - Jorge Lewis new pop-up or a model like yeah a model model yeah what do we see and then we have we can give it a new name hmm so pretty much all of it So we get a new name, a new personality, the objective.

47:02 - Jorge Lewis This one can be null. So I guess all of them can be null and we can have a default.

47:14 - Hasnain sayyed Got it.

47:21 - Jorge Lewis So for example, the objective, when it's default, could literally be nothing. We just tell the bot who it is and what it's doing, and we let it, like, kind of just, you know, we tell it, pretend you're a person that's trying to achieve this goal, and you're chatting, you're trying to improve your life with a chatbot, with a life coach here. So this is their profile information that they set, okay. So this, I guess this can be default as well. We can just set, maybe we pre-fill all of these with the default information and then so that Kuen can make a lot of new users fast. And if he wants to change it, then he can.

48:07 - Jorge Lewis And maybe, this is just an idea, no clue, temperature.

48:26 - Jorge Lewis I'm like that.

48:32 - Hasnain sayyed But yes, we have to create a new column. Yes, for every user for the temperature if you want.

48:42 - Jorge Lewis That will be dynamic for each create.

48:49 - Jorge Lewis So is it is it all good or? Yeah, yeah.

48:58 - Jorge Lewis Oh, cool. Let's go, let's go into, uh, working on that.

49:04 - Hasnain sayyed Got it. So which part, uh, should we start the first, uh, the UI, AI work?

49:14 - Jorge Lewis Um, so the UI, we'll leave it to a front end. Have you worked with spells?

49:22 - Hasnain sayyed Uh, no, actually I am proficient in react next. Yeah.

49:34 - Jorge Lewis Yeah, we'll run that for now. We can worry about the backend. All of this here can be done just by creating new, we can set all this data with just doing it in Superbase. So these here, so actually this profile information is sets, this is already from, that's already in the table. This is new, and this is new.

49:58 - Jorge Lewis Hmm.

49:59 - Jorge Lewis Right. I'm sure. Correct.

50:02 - Hasnain sayyed So these are all new ones, but, uh, if you create the temperature, uh, uh, additional point of here, so it will affect the real user or else we have to, uh, set like, uh, if, uh, the condition, like if I did a synthetic user, then it will be, uh, getting from the database or else, uh, the default temperature of all the real user will be like that.

50:27 - Jorge Lewis Yeah, I think so, yeah. So, in the call, in the function that does... I think it's just called run, actually. In that function, we can take in a parameter saying synthetic or not, and then anywhere in the code we can access that variable.

50:48 - Hasnain sayyed Okay, so...

50:48 - Jorge Lewis So, I'll leave it up to you.

50:55 - Hasnain sayyed the basic thing here if I am just a quick recap the functionality of the backend will be pointing the listing all the you know the user the synthetic user in this dashboard it will be a function a normal select all thing and then While clicking on the new user, it will be picking the default value. I think there doesn't need to be any database. Or we can just have a normal JSON created. We can just create a JSON over here in the, and it will be storing, uh, in our local file only if we want, or maybe in the database. And this data will be, uh, you know, fetching, when the user, when the, and if that, uh, values change, it already been stored in the state like, uh, uh, the input state and if your admin takes on create, the updated value will be creating a new row in the super base.

52:05 - Unidentified Speaker Yeah.

52:07 - Jorge Lewis Yeah, so the flow of... Okay, so actually let's discuss quickly the flow after I click the create button when I create a new synthetic user. What should happen is that... Let me think actually.

52:26 - Jorge Lewis So instead of 10 because I think that's too long, because imagine this, if Kuen wants to simulate one month of the user interacting with a bot, is too 10 long, that'll be 300 minutes. So obviously if we could, we'd make it instantly. We'd make it, you click create synthetic user and it has one month or 10 months of data, of conversation data done, but the LLMs are too slow, so how do we figure out how do we figure that out based

53:06 - Hasnain sayyed on data length or based on time interval these are two options I feel but like the number of questions interval Like number of questions asked by the synthetic user, we can also point that as well. Like it won't exceed 10 questions, maybe.

53:31 - Jorge Lewis So for time interval, I like time interval more, but what's the lowest we can set it at? Because one minute, I don't think they can have enough messages. Maybe?

53:42 - Unidentified Speaker Yeah, right.

53:48 - Jorge Lewis We can play around with the number. We can set it later. Also, one concern I have that I think will be kind of annoying is, so the synthetic user, how will he or when will he send a message? Because how that will work is, this guy sends a message to this guy, this guy responds immediately, the bot responds immediately. And then the synthetic user, because he's in LLM, will receive the response and respond immediately as well. And it'll keep going. There's no way to say, okay, um, yeah, no, not even waiting for it. Like for example, a normal user, they wake up, they'll open the app, they'll talk, chat with the user, the chatbot and say, Hey, um, hi. They'll have a conversation. The phone, the usual, put the phone down. But in our case, the synthetic user, how do we tell him to put the phone down?

54:49 - Unidentified Speaker Yeah.

54:53 - Hasnain sayyed One, one, one idea.

54:59 - Jorge Lewis One idea is that we separate, um, we give the, the synthetic user, their concept of a, um, of, of a conversation and the synthetic user will know, or we'll have an objective for each conversation. And when it reaches that objective, it closes the conversation and then it, um, it calls a function saying let's time elapse and it lets an hour or two pass fake, fake one hour or two.

55:32 - Hasnain sayyed Uh, okay. I got it. Um, but I'm thinking like how we create that function, like, uh, while conversation between two points, we have to create a loop kind of thing that this is the basic, uh, brute force approach or else we have to based on we have to create a function like based on the like response from the synthetic user it will it will think like if the synthetic user wants to ask another question like wants to give another answer or not or like it will stop at that point this is the two solutions I can think like the

56:17 - Jorge Lewis Is the loop, so I have an idea, but it might be the same as a loop. It's like a brute force, like you said. A conversation is five minutes. So that after five minutes, they stop talking and we let time to pass. Is that what you're suggesting?

56:34 - Jorge Lewis Yeah, correct, correct.

56:36 - Jorge Lewis I think we can do that, yeah.

56:40 - Jorge Lewis But like right now, we don't have to worry about that. We can just make it have, We can just let it go back and forth. We don't have to worry. And then later we can worry about controlling the time. How does that sound?

56:54 - Hasnain sayyed Correct. We can change the time, whatever we want. It's just one variable we have to change.

57:02 - Hasnain sayyed Yeah, OK, cool.

57:04 - Hasnain sayyed Yeah, there are normal edge cases in the background, like the synthetic user has to chat one day at a time, like only one day, five minutes or two minutes, whatever we set. It won't have to reiterate. Yeah, that's the normal edge case.

57:21 - Jorge Lewis We can add all these edge cases, I think, one by one if we need to, right?

57:24 - Hasnain sayyed Yeah. We have, we have to add a column here. We have to add, uh, like, uh, uh, maybe the last time, uh, he chatted and, uh, based on the last time, uh, it will add 24 hours, whether, uh, it is, uh, like, uh, greater, like it will compare the current time and the last time. And whether there is a gap of 24 hours or not, if there is not a 24 hours gap, then it won't execute that function or if there is a gap.

58:07 - Hasnain sayyed One point I have, the one most important question is, it is not a WebSocket, right? It is a HTTP request. Like, how can, how could we let the synthetic user run by itself? Like, okay, the condition satisfies, like, yeah. There is a gap between 24 hours maybe. Then how the synthetic agent will let know like, yeah, there is a 24 hours gap. Like the API hit.

