Meet Meeting 
Fri, May 31, 2024

0:15 - Eksno Bad lighting here.
23:56 - Cuan Mulligan Okay, so just some feedback in terms of how we're working. And this is just, there's no blame here, but I think certainly my expectations of what I'd be able to do today and what I am able to do today are not aligned. So I think we need to do a better job of getting aligned on what is actually going to be feasible at the end of every week. Because we can see progress, that's fine. But it's just, it's a challenge when, you know, I've got stakeholders who are going, oh, yeah, yeah, great. And I say, yeah, I think we should be able to play with it this week. Technically, yes, you can play with it, but there's no context. So it's not really usable. I wouldn't give it to my wife or my sister, because I think they'd just get lost, and they would just get frustrated, and it would give them a disappointing experience, which I want to prevent. We also said two weeks in that this would be potentially a branching point where JP's work could start on the back of what we've built. It also doesn't feel like we're any way close to that yet. So can we just sort of reset expectations of how do you, I mean, do you think things are going slower or faster than you thought or as expected? Because that is just my, it's a calms gap as opposed to a progress gap.

25:18 - Jorge Lewis I would say slower for sure. Jonas got sick over the weekend. My stomach wasn't doing so well. So for the expectations, I'd say we were on track until then. It wasn't, the best scenario but I think I think what we can't because our expectations were probably accurate but what we conveyed to you was probably the problem so more more communication regarding what you can do within the app and then we tell you what you can do and you ask us what about this can I do this and we'll say yes or no because if we tell you what you can do and then we say okay perfect

25:52 - Cuan Mulligan then there's probably a big chance for miscommunication there Yeah, just from a, again, from a customer point of view, the early days were great. There was a lot of backwards and forwards, a lot of conversations. At the moment, there's very little conversation during the week. I sort of instigate stuff, you guys go off and do your stuff, and I get that. I'm not trying to micromanage you and I'm not trying to look over your shoulders, but I think there is, it feels like the possibility for a divergence is much greater because we're not really checking in. And I think that's evidence in the last two weeks in terms of what you've delivered on the Friday has not been aligned to what was in my head. Again, not blaming, just saying that there's a communication gap. So I'd like to figure out how we make that a little bit tighter.

26:46 - Jorge Lewis Jonas, what do you think about maybe bi-daily text updates? Because in terms of capabilities, it's not every day that there's a new capability that Cuan can work on, but perhaps just the items we're working on. Would that work?

27:08 - Jorge Lewis Not twice a day, every two days.

27:11 - Eksno For up to now, what we've mainly been working on is the foundation of the application, the foundation of the AI, getting all the capabilities in. For me, it's aligned with expectations because we haven't been focusing on everything on top.

27:29 - Eksno to place on top. All of those are things that will rapidly come later throughout the process.

27:40 - Unidentified Speaker Okay.

27:42 - Jorge Lewis So the issue is that we didn't convey that properly with Cuan then, because he was expecting something else. So that is our fault then.

27:53 - Jorge Lewis So do you think doing an update every two days would work, Jonas?

28:00 - Eksno Yeah, but I won't always have too much say, like every two days, but yeah.

28:07 - Cuan Mulligan I mean, I appreciate that when we get to a point where we're building more sort of features rather than foundations, those updates are going to be more obvious and useful. What I think in this phase is more useful is actually getting really, really clear and having some record of a visual will be delivered. So for example when you just say the words You'll be able to play with this next week. And I was like, oh. And I then got potentially carried away with what that actually means. It's not a tightly bound defined object in terms of play means this, not that, but this. And actually, if you're going to play with it, what's actually useful? What's an actual useful thing? So I think if we can do a use case, what I'll do after this is I'll write down in the Discord what I would like it. The thing, so there's a couple of things that once I can do these things, it becomes useful. Not fully functional, but it becomes useful. And the question I need from you guys is when will that be achieved? That might be, it could be on Wednesday, it could be Wednesday next week. So we don't, even though we are working two week in weekly focuses, sometimes things will happen outside of the scope of that. And then the other question, just while we have JP here, is when the world of multi-agent seems to be taking off, and it's just all we're seeing now. When do you guys think you can start looking at JP's solution not wanting to necessarily I mean do we slow down adapt in order to start JP are they both sort of inextricably linked on the first phase and then once you've built enough foundation we can pivot eyes like what's the what's the exercise there I can't hear you Jorge is that just me I think I Yeah, I was saying that I'd probably hop on to the dev bandwagon,

30:17 - Jorge Lewis spend probably half of my time there for story.

30:22 - Jorge Lewis It wouldn't slow down either project. I think they're still, if we did one, it would be the same speed as if we did both.

30:31 - Jorge Lewis But as how soon we can get it done, if the spec that we sent over looks good and there's nothing seems to be missing, then we can start prototyping.

30:43 - Cuan Mulligan Okay. Yeah.

30:53 - Cuan Mulligan Should we leave it there then? If you guys can send over the publicly available, I'll just have a play with what's there anyway, just to see it. And then I'll spec out this afternoon or in the next hour or so once I eat some food, I'll spec out what I think is a useful set of use cases. And once I can do those things, then you can tell me when you think And sometimes where I've gone, it needs to do this. And you're like, well, actually, we could do a hard-coded version that allows you to get to the same outcome without having the finished interface, for example. So I welcome the challenge to figure out alternate ways of getting there quicker.

31:34 - Eksno Yeah, sounds good.

31:36 - Jorge Lewis Thanks, folks.

31:37 - Jorge Lewis Appreciate it. And for JP, we'll get started over the weekend on Monday. Just kick off do the official kickoff by Monday. How does that sound to you? I'll send the contract over probably if Let's get take another look at the spec make sure that it's all good. And then we can once I get the final Okay, I'll send the contract over.

31:55 - Jorge Lewis Sure. I'll do that this afternoon for you Cool.

31:58 - Jorge Lewis Thanks so much JP. Thanks for your time
