Meet Meeting 
Mon, Aug 19, 2024

0:00 - Jorge Lewis Oh, I see. Place.
7:45 - Jorge Lewis so it's like for okay so for the one I'm speaking about is like someone like b was in house nine for them like how does english get better sorry michael it is michael it is michael yeah he has mentioned it michael or at least someone has mentioned it michael yeah and it's for someone like has nine his english is it needs a lot of work um Like, it's just not something that we can take to clients. Um, like it's, it's conversational, but I feel like we should be, we need people that are fluent, like Chinmay and, and I don't know if Biwas is fluent actually, Will's fluent. Um, but anyways, like there's, there's, it's not, so the language is one thing that of course can be learned. Um, but there's also, Like Nazif, he's become as good as he is in English because he spends time improving it. Hassan doesn't really, he just does things on the internet that are inherently English. But there's some behaviors that, like for example, Chinmay and Nazif, I just know I can work with them because they aren't going to tell me, oh, that's a good idea. Like every single time, like they, they participate in conversations. I had a conversation with, with the whole team on, um, on Adapt and it was just me and Chinmay talking like the whole time. Um, like I like Has9. Um, like, of course we get along well, but it just, I feel like there's going to be maybe, like, I just can't see. If there's potential or not. I'm not saying I can't see potential, I'm saying I can't see if there is.

9:37 - Jonas Lindberg And also, just from a fundamental standpoint, if we're at the stage in our business where we should be investing in people that we're unsure about for the long term.

9:47 - Jorge Lewis Yeah, and it's like, when you, like, I think there's so many people out there that it's like, if you hire another person, like, or I think The objective way to go about it is you should fire him and look for another one, another one out of college or like another young person.

10:14 - Jonas Lindberg Yeah.

10:15 - Jonas Lindberg At the motorbike course, I actually met a software engineer. He's in his like 40s now and he's like started two companies. He had like a lot of insight there. And basically he just said, like when he interviews, like he usually rejects like at least five people before he finds one that he deems like fit. If that makes sense.

10:39 - Unidentified Speaker Yeah.

10:40 - Jonas Lindberg Like that's the minimum.

10:43 - Jorge Lewis I mean, we did quite a few. We did one-way interviews.

10:47 - Jonas Lindberg Yeah, I mean, sorry to elaborate on that, that's bringing them on the team for like, basically like we did, but we accepted every single person. We brought on the team but he just like throws them off the second he sees like okay this isn't it just oh it's not what yeah like for example be worse he's got a great worth ethic and yeah maybe

11:15 - Jorge Lewis like because like think about it like this as well when I first started programming I put try statements everywhere I had no clue what I was like, When you first started, you just like, there's different types of people. There's people that start with like good, you know, foundations like Nazif and perhaps yourself. But for someone like me, where I just, I was just like, I'm just the type to just try everything and just like, just the grind. And then you, and then you get to a point where you're, you've learned things.

11:49 - Jonas Lindberg So, I think he is similar to that, because some of the things he figured out with NixOS and the old tech stack, I did not. I straight up tried it for half an hour, just gave it to him, and then he figured it out. He may have taken more time than I would, but he figured it out. He found weird-ass solutions.

12:13 - Jorge Lewis I just can't remember back when I first started. I told him to evaluate I'm getting a weird echo or something.

12:25 - Unidentified Speaker Okay.

12:27 - Jorge Lewis So I was speaking one, two, three.

12:36 - Jonas Lindberg No, not for me.

12:38 - Jorge Lewis Um, so I told him to evaluate the leads or to improve the, the, the rest system. And I told him when you're comparing the results of a, of an analyzer compared to the actual system, he was using an LLM to compare their yes or no, their Boolean value. And I was like, oh, bro, there's no reason, like you've over-engineered it, there's no reason to use LLMs. And he said, hmm, okay, yeah. But then he came to me again and he brought up the same point, but as he was saying it, he realized that I already suggested for him. So I'm trying to figure out, would I make that same mistake in trying to, over-engineer, perhaps, because when you're naive and inexperienced, you just kind of think, oh, the most fanciest solutions. Perhaps it could go over my head that, oh, there's just a property that we compare Boolean. We think of it as common sense now, but maybe that's just in hindsight. I don't know. So it's tough to say, but at the same time, it's like, we're putting money into him in the hopes that he gets better in the long term.

13:49 - Jonas Lindberg Yeah. And also like when they get better, when we like form them into what we need, they may just up and out.

13:58 - Jorge Lewis Yeah. I mean, as long as there's more potential at Futino than other companies, I think they'll stay, which I think we'd be able to provide with how ambitious we are.

14:10 - Jorge Lewis One attribute of Chinmay that is just very clear is that he has goals. I think you were listening in on the part where he knows he wants to improve in terms of salary and everything.

14:25 - Jonas Lindberg He wants an American California salary.

14:31 - Jorge Lewis I want to tell him in a nice way, unless you go there, you're not going to make that.

14:36 - Jonas Lindberg Yeah. Well, that's why he was looking into starting a business, right?

14:42 - Jorge Lewis But in, I don't know if he wanted to do it in India or in the US, but they all wanted to start a business by the way.

14:49 - Jonas Lindberg You said, well, Chen Mei is the one that's most like looked in. Yeah. And like when he was talking about MBA, I think he wanted to take the MBA for the actual learning, not for the degree.

15:03 - Jorge Lewis Yeah, that's what I got the guy that at the end as well. But I was like, I, we just kind of went into a different topic. But I could hint that, oh, he thinks he needs to learn about business to do business.

15:18 - Jorge Lewis But like, one of the things I can maybe has nine doesn't show that kind of that all the things all the nice things that we see in China, because his English is not a good like, if you're, if you're Second language is not that good, you just speak less of it usually.

15:33 - Jonas Lindberg By the way, I think the reason why he's not good at English, like compared to me, which I also didn't study English like Nasif is doing, is because they speak Hindi, which you can find a tutorial, you can find YouTube videos, you can live on the internet in Hindi. You can't live on the internet in Norwegian. So I was forced to watch everything I watched, entertainment, tutorials, everything in English. They are all watching it. Like I had a discussion with them, both Biwas and Hasnain, they always watch in Hindi. Like if they need a tutorial for something, they always find the Hindi version. I advised Biwas not to, I advised him to watch in English instead to improve his English, but I don't know if he took it to heart.

16:21 - Jorge Lewis Yeah. You know, you know, I was reading back at my messages and see if, and we were talking once. I remember about like how his, um, the way he works is just kind of different from what we like, But I think that's not true. I think maybe it's just the way he expresses himself is, is how he was. Uh, Nazif Nazif.

16:46 - Jonas Lindberg Oh, Nazif. Okay.

16:48 - Jorge Lewis Like I was looking at our WhatsApp chats and, um, And we were talking about, okay, let's do this. And he was like, oh, excited to be part of this new adventure. It's like a dream coming true for me, and I'm very grateful. So I think for him, working, getting a full-time job for a company, or at least like an aspiring, an ambitious company is kind of part of what he likes. I think he's, I wanna ask him some more questions when he gets back. I don't wanna, of course, interview him, but I wanna figure out, like, What do you prefer more to be a freelancer or to have a team that understands you and you can work with both sides?

17:35 - Jonas Lindberg If we were talking about developing, the way we disagreed with his frame of mind was that he wanted to focus on getting just the best at one thing, but we think it's better to explore all the avenues because that makes you better at the one thing. Was there any change of perception from your end there, or is that still the same?

18:08 - Jonas Lindberg Or was it just on the like wanting to be a freelancer compared to wanting to have a full time?

18:13 - Jorge Lewis Yeah, I think I think I confused those two. I probably remembered wrong that the main point was that he wanted to focus on one thing. Whereas when you're in a team, it involves working on all other things, I guess.

18:25 - Jonas Lindberg Not even on the team, just like if you're a developer in general, you should learn everything.

18:31 - Jorge Lewis An employee, yeah.

18:33 - Jonas Lindberg Not like outside of a job, I'd just be learning new shit every two weeks. I'd be learning Rust, I'd be learning SIG, I'd be learning HTMX, I'd be learning, just jumping from thing to thing because when I jump back again, I'll be so much better than if I just focused on that thing.

18:51 - Jorge Lewis Usually good developers are the ones doing everything. They're not really...

18:59 - Jorge Lewis So maybe we could help him open his eyes to that. At some point, we've had our idea or our dreams were like, oh, we're going to be experts at this one thing. Everyone has that. But since we've been forced to try everything else, we've kind of realized, oh, trying everything else helps us become better at that one thing if we wanted to.

19:20 - Jonas Lindberg I'm kind of surprised he's like a fan of the Prime Engine. The Prime Engine is a big advocate of just trying stuff.

19:27 - Jonas Lindberg He made a Doom game on Twitch.

19:30 - Jonas Lindberg Yeah, he's making Doom and... What is it?

19:33 - Jonas Lindberg ASCII.

19:34 - Jonas Lindberg Yeah. But like, he's learning OCaml now. I think he finished learning Rust. He's learning Go now. He's just advocating so much for just trying stuff. Someone even asked him, should I try Vim? And he said, it's not about Vim, it's about trying it. Try Emacs.

19:57 - Jonas Lindberg You just gotta get experience, try everything. Because if you spend one year on VS Code compared to six months VS Code, three months Emacs, three months Vim, you're and you eventually choose VS Code, you're going to be better on VS Code, because you know the fundamentals, you know how to compare servers, you know where it's a live server.

20:19 - Jorge Lewis I didn't actually... I sent a video regarding that Vim. I think it was a video from the Prime Agents saying you use Next for the wrong reasons.

20:27 - Jonas Lindberg Or you use Vim for the wrong reasons. Or don't use Vim for the wrong reasons, yeah.

20:33 - Jorge Lewis I think it's you use Vim for the wrong reasons.

20:37 - Jonas Lindberg Okay, I think the problem is different from the title. Maybe.

20:41 - Jorge Lewis But it was pretty funny because that day or the, yeah, I think it was that day, me and Will were talking about, or I was telling him, people listen to people like the Primagen and don't realize that they're spending more time configuring their Vim setup than writing solutions. And there's so many reasons why people like, the main thing is just, you have to think for yourself and figure out, okay, Should I be using Vim or should I be using VS Code? And I feel like for most people it's VS Code. For most people.

21:13 - Jonas Lindberg Like if you're in... I'd argue VS Code with Vim bindings though. Vim bindings are just amazing.

21:19 - Jorge Lewis No, not Vim bindings. The emulator. Or the... I still haven't gotten it, but... Fabian told me there's like an emulator where it's actually like Vim in VS Code, which gives you the best of both worlds.

21:36 - Jonas Lindberg Not just the Vim plugin?

21:39 - Jorge Lewis No, it's like, it's, I don't know. I think it was something else. I can't remember.

21:44 - Jonas Lindberg So you guys still get like the call on the command line and everything.

21:48 - Jonas Lindberg Yeah. I've heard of it, but that sounds difficult.

21:52 - Jorge Lewis Yeah. The main, my main point was with, with Will was just like, yeah, it's, you can't, why use Linux if like you have to really just think what benefits do you get from it other than looking cool when someone else sees your screen? Cause. Damn, I felt cool when I was in the airport with my Linux, NixOS and my Vim. When I'd be in the co-working space and other people can see my Vim and I'm like, yeah, new Vim by the way.

22:27 - Jonas Lindberg Like for me, I think like the time I've spent with Wynn now, if I moved over to VS Code, I'd be much better at working with VS Code or whatever, Editor, Emacs, like at setting it up to how I like it, knowing what, how it should work to work most efficiently with it, all of that. I feel like it's almost more true the opposite, where I think Will, he literally just copied Primogen's config and used his Vim because Primogen said Vim is good. But Vim is all about being a personal development environment where you decide exactly how it's most efficient to you.

23:05 - Jorge Lewis Will seemed to have a good understanding that Linux is only for certain people. He showed that he had good understanding of that, but there's one point we disagreed on, which I can't remember exactly what.

23:22 - Jorge Lewis But anyways, before we go into the night, let's just kind of dive into the topic, and then we can see where it goes afterwards, just so we can finish that up at least. So yeah, as I said in the Discord message, So ideally, next time or on the third time, we can set up a podcast. So we both set up our cameras or our phone cameras, whatever you want to use, and treat it like a podcast. We can livestream that. And then we post-process it. We can add in some voiceovers, animations, and all that to make it into a concise video.

24:04 - Jorge Lewis But right now, so I've made a day in the life video. Um, it was just ad hoc. It was like, it was midday and I was like, all right, let's just record. And I just kind of recorded the whole day. Um, and I've learned so much and I'm just, that's why I've decided, let's not start with a podcast. Start with this. We'll pretend it's a podcast. Um, or at least, I mean, it's like most podcasts are uploaded, not live stream.

24:37 - Jonas Lindberg So that's the podcast. I'm not live podcast. Live podcasts are very new thing.

24:46 - Jorge Lewis Yeah. But then the, I guess the most, the most of the setup is regarding your, your, your equipment, like your cameras and stuff, but also being in the frame of mind to be able to speak properly. Like if you write that. So right now when I, what I learned is I'm terrible at speaking into a camera. I thought I was good. I thought I was like, Oh, I'm a good speaker. But you put yourself in front of a camera and know that people are going to be watching. You're like, uh, and in your head, you don't sound that bad, but you watch it back and you realize every two words is a filler word. And you're like, wow.

25:20 - Jonas Lindberg Yeah.

25:24 - Jorge Lewis Also. Yeah. I mean, I guess when you're in a podcast, you don't have to look at the camera, but I've realized like just regarding my YouTube channel. Um, I don't have like in this one video that I made the day in the life, I don't have time to edit that. It took me way too long to edit. I recorded it Monday, by the way. I'm going to publish it this Monday. It took me a week to get done with all my other stuff. That's just not the schedule I want. I don't like the stress that it has, but I really enjoy the filmmaking and the cinematic and that part. So what I think I might do is at the start right now, since all I want to do right now is just document, I'll make the similar style videos as I just sent you from Joe. What's his name?

26:11 - Jonas Lindberg Joe, Joe. Wow. Oh, wow. How, how, wow? D-Woz is at your table, by the way. Oh, bruh. What's he saying? I just heard clicking half the time from my microphone went together and so D-Woz, he also waved at me.

26:38 - Jonas Lindberg What would you say?

26:41 - Jorge Lewis So I'd make videos like Joao, where it's just like you maybe write a script for like 10 minutes, 20 minutes, and then you speak off of that. And it's just very minimal, mostly stories, so that when you're speaking, you don't have to do research. And it's just from your experience. It's not opinions. It's just experience. And, um, that way the quality to make, or the effort to make those videos is really low, but you can dish out, you can build a fan base. And later I would, as when I could be able to afford it, I'd hire an editor to edit my videos, but make my own cinematic or kind of, I guess, cinematic films. Cause I want to, I want to have like, like, for example, who I am is, is a video that I would spend probably a couple of months on just as like a passion, just like the, He's trying to join

27:35 - Jonas Lindberg from his personal account.

27:39 - Jorge Lewis But like right now, I just don't have the time to work on it. And I've been at least told probably five times this one week to focus on one thing.

27:53 - Jorge Lewis What do you need?

27:53 - Biwas bhandari Just checking in.

27:59 - Jorge Lewis We're doing a... It's good to see you. Well, good to hear you. No, I haven't seen you for like a month at this point.

28:06 - Biwas bhandari Since, I think, last Thursday.

28:12 - Jorge Lewis Way before that.

28:19 - Jonas Lindberg Since Nexus OS got installed on this computer. I think it's Linux in general because like the research like we did or when troubleshooting it we googled the laptop model and it seems to just be struggling every distro.

28:37 - Jorge Lewis Some wine.

28:42 - Jonas Lindberg Some wine?

28:42 - Unidentified Speaker Okay.

28:45 - Jonas Lindberg Can I make a cocktail?

28:46 - Jorge Lewis Are Just some classic one. Enjoying it with my beautiful classical musician over there. You can hear that?

29:06 - Jonas Lindberg No, I can't, but I've had a keyboard like that. I know the sound it makes.

29:20 - Biwas bhandari Is my mic fixed by the way?

29:22 - Jorge Lewis I went to the- No, we can't hear you.

29:32 - Jonas Lindberg Bye, I got a motorbike now.

29:36 - Jonas Lindberg Finally. The Honda Wave 125i.

29:42 - Jonas Lindberg You know what?

29:44 - Biwas bhandari You're renting or buying it?

29:46 - Jonas Lindberg Renting, and then I'll probably buy it, but I'm also looking at Facebook's marketplace to see if I'll get a better deal.

29:54 - Unidentified Speaker Oh, yeah.

29:56 - Jonas Lindberg Most of them are in Bangkok. The one selling it, it seems like, legit, I'm not joking, probably 20% or like 10% of them are the Honda Wave model, and no one's selling it. Everyone just wants to keep it. It's good.

30:17 - Jonas Lindberg The one I've got now has a whopping 480,000 miles on it, or kilometers. What, how much? 480,000?

30:30 - Jonas Lindberg Bro, it drives like butter still. It's just like the 10,000 one I just tried before, which was double the price.

30:36 - Jorge Lewis How do you get 480,000 in 5 miles?

30:43 - Jonas Lindberg It's like locals. That's the one that they drive to.

30:46 - Biwas bhandari It's like it's running since the sixties. Continuously seven years old.

30:55 - Jorge Lewis Yeah. Oh, yes.

30:58 - Jorge Lewis As your, as your clients, I would expect more updates for my rest, my Read.AI tool.

31:04 - Biwas bhandari I create everything is done and I created the PR because what do you haven't, I think most did yet.

31:13 - Jonas Lindberg Is that how you speak to a client? You ask him to merge your PR requests?

31:20 - Jonas Lindberg I'm still waiting for my manager to merge me.

31:23 - Biwas bhandari I pushed it, but my manager haven't merged it, I think. So it depends on him.

31:35 - Jorge Lewis I applied to the Thiel Fellowship, by the way.

31:38 - Biwas bhandari You applied?

31:39 - Jorge Lewis Yeah, yeah, I usually don't apply. There's a deal with Spencer link to the field fellowship, Peter Thiel, I believe. And I usually don't apply to those grants, because this usually requires like a lot of mentorship, like they want to bring you up and kind of say, Oh, we've raised this guy. But what it looks like on their website, it's just like, we literally just give you money and you like to enable you to go do whatever you want.

32:04 - Jonas Lindberg Apply or like only you and then you got me and it's less, it's less Oh, your name and your email. Uh, you cut out there for the entire explanation. I just heard your name and their email.

32:23 - Jorge Lewis My hair.

32:24 - Jorge Lewis Yeah. You're back.

32:27 - Biwas bhandari Uh, yeah.

32:28 - Biwas bhandari Do you know about building space? And they also do the, uh, yeah, they also do the same kind of thing.

32:36 - Jorge Lewis Yeah. But most, most of the time is those, those things require you to kind of, they, they, they make you do a lot of programs and like mentorship things. And then I just, I'm not interested in that, but it seems like the field fellowship is kind of all about just being, just giving you money to enable you to build a business.

32:57 - Unidentified Speaker Yeah.

32:58 - Biwas bhandari When I was looking at this, um, I don't know. That techcrows do you know about those guys let me see their channel there one one of the audience said that if you are building a startup or something like that uh they gave you yes same like the fellowship program but it's canadian I think Um, if I find that video once again, I'll send it.

33:32 - Unidentified Speaker Yeah.

33:33 - Jonas Lindberg Uh, Jorge, could I get just from a, like 1% to like a hundred percent confidence level of getting a grant here and how much, just so I have any context because yeah.

33:48 - Jonas Lindberg Um, there's an off of the top of your head number. Doesn't have to be accurate. Like seven.

34:01 - Jorge Lewis Because they're, what is it? How did you find it?

34:06 - Biwas bhandari Uh, yeah, I mean, my friend sent it to me.

34:14 - Jorge Lewis Yeah. So they don't have any marketing. It's just word of mouth. And like the people that are getting, that are trying to apply or people like us and his friends. So I think my resume is.

34:28 - Jorge Lewis there's maybe it shows it depends of course what type to invest in whether it's people that have a year or two experience or whether it's people fresh but people over there fresh usually don't take money very well yeah well like how much and what was it seven percent you said it's a hundred thousand grants over two years when you realize Next year that wouldn't be so much to us.

35:03 - Jonas Lindberg I mean, yeah, but the current mouse, that would help.

35:12 - Jorge Lewis In case you didn't know, we're trying to reach 100k this year, by December. So far we're about 40, 41, I think so far. Um, but we have, we have, that's not considering, uh, uh, promise.

35:33 - Jonas Lindberg Oh, okay.

35:34 - Unidentified Speaker Yeah.

35:36 - Biwas bhandari Uh, besides Kuwan and JP, I haven't seen other clients. I mean, I was trying to reach other clients out after only completing these two.

35:49 - Jonas Lindberg Okay, so the biggest or that it was mostly just small clients like the below 1000 Oh, we had one above 1000. That was a Guy with money that doesn't have time. And he doesn't put any time into his website. He just gave us money and told us to make it. And then we made something, delivered it, and has he gotten back to us?

36:23 - Unidentified Speaker Very interesting.

36:25 - Jonas Lindberg Wait, isn't this month that we're supposed to ask for a retainer?

36:34 - Jorge Lewis Next month.

36:37 - Jonas Lindberg Have you been in contact with them at all?

36:40 - Jorge Lewis Yeah, here and there. Not recently, but I think the last time I checked was maybe January.

36:47 - Jonas Lindberg What's your confidence in getting that retainer?

36:51 - Jorge Lewis Pretty high. If you consider that they're the biggest garage company in Hong Kong. How much were they doing a year? I think it was 50 million.

37:03 - Jonas Lindberg I wonder if it'll be more like, ah, I'll support the small fry. Or if it'll be like actually valuing the website, because is he still running advertisements for the old one?

37:17 - Jorge Lewis That was so weird.

37:21 - Jonas Lindberg We made him a whole new modern website, much better than the old one looking. And the week after, we searched up his company and got an advertisement for his old website, not the one we made.

37:37 - Jorge Lewis I think my dad found it.

37:40 - Jorge Lewis My dad searched up Wonderly and the ad came up for their old website and my dad checked it out and was like, you made this?

37:50 - Biwas bhandari And I was like...

37:51 - Jorge Lewis Let me send it to you. Maybe it's still up. Oh no, it's down. It's because we took their domain. But it was like 1990s, like raw HTML.

38:08 - Jorge Lewis Is the old one down?

38:11 - Jorge Lewis Um, I mean, there's, cause we took the, we took the wonderland.com domain.

38:15 - Jonas Lindberg Yeah. Oh, we better not like the, the, the domain name management of that one, by the way, is seven years has paid off it. We'll get no notification, but before it runs out, we have to transfer it.

38:32 - Jorge Lewis Dude, that's a 3d animation. Oh yeah.

38:38 - Jonas Lindberg Oh yeah, go to wonderly.com if you want to see some of our work. You can see all the remnants of our past projects. If you look in projects, you can see itino, startino, wonderly, reditor, oneoffs, oneoffscaptures. Can you see the screen?

38:57 - Biwas bhandari Yeah, yeah.

38:59 - Jonas Lindberg I think it's probably lagging.

39:09 - Jorge Lewis I have to refresh to get the fresh animations.

39:21 - Jonas Lindberg Oh, I remember you made this like, and while you were making it, you were trying to make everything into work with, uh, Lord.

39:44 - Jonas Lindberg I hope that didn't traumatize you too much.

39:49 - Biwas bhandari I brought back some bad memories.

39:53 - Jorge Lewis That was like the most naive thing we could ever think. We were like, dude, let's give us LORC. It stands for Library of Reusable Components.

40:11 - Jorge Lewis I don't need to go any further. We thought we were being like the newest. We thought we were like so innovative.

40:25 - Jonas Lindberg We tried to save every component, everything we made into this like component library that we were planning to use internally in every project we had.

40:40 - Jonas Lindberg So we tried to write all our code reusable.

40:50 - Jorge Lewis At least now I know what it takes to build a reasonable library.

40:57 - Jorge Lewis Just an interesting note on that, over like five projects or so, we'd be able to use all of our code and input it to a code generation system.

41:13 - Jorge Lewis Like it would be really good at, so I mean, actually what I want to try is, been on my bucket list a while, Shed CN code generation thing.

41:23 - Biwas bhandari I mean, that's what I said. No, uh, generative UI.

41:31 - Jorge Lewis No, no, not generative UI. I mean, like, like code, like generative, like it creates the code that makes the UI.

41:39 - Jonas Lindberg Yeah.

41:40 - Jorge Lewis No, no, that, that that's generative UI. That's like in a chat bot, it can create new UI on the spot. I'm talking about like an entire code base. So like backend plus frontend, like everything. Oh, you mean back into, I mean, like the Vercel does it in ShedCN. You know, that's using ShedCN. Yeah.

42:02 - Biwas bhandari Also, I think my one recommendation will be, for example, every time we do a project, we need a signup login compulsory. So we just, why don't we just create a template of that?

42:17 - Jorge Lewis Yeah, we've had that on our to-do list for a little bit, a little while.

42:22 - Jonas Lindberg Let's see if I was supposed to create a template quite some time ago.

42:28 - Biwas bhandari Because every time we do project, we do not need to spend time on those things.

42:32 - Biwas bhandari Yeah.

42:33 - Jorge Lewis Because we've done it already twice for Oak and for Itino. So it is something. So whatever Will is working on right now, those two weeks that he's going to spend on it should realistically be like half a week.

42:54 - Jorge Lewis Anyways, if you don't mind, it's already past bedtime already and I still have to finish this whole thing with Jonas.

43:02 - Jonas Lindberg Oh, what a hard thing.

43:04 - Jonas Lindberg If you read in the chat that I added you in, that's kind of why I added you there, so that you would read the text that was there and get some context.

43:15 - Jorge Lewis But the study joined.

43:22 - Jonas Lindberg I added you because if you read right above, it says, let's pretend it's a podcast so that we can learn. I'll be recording our session. Basically, we were going to be recording the podcast, YouTube video, Ugly Codaskin. Oh.

43:40 - Biwas bhandari Will you upload it? Huh? Yeah. Then I'll also go. It's already 11 here.

43:51 - Jonas Lindberg 11pm. It's 12 here. Jorge, you never answered my question. How sober do I have to be for the podcast?

44:06 - Jorge Lewis Undetectable to a stranger.

44:12 - Jonas Lindberg I've had water in this but I can fill it up with something else.

44:18 - Biwas bhandari I'm gonna go have a good night guys.

44:20 - Jonas Lindberg Have a good night. See you tomorrow.

44:23 - Biwas bhandari Just the mic is peaking but otherwise it's nice.

44:36 - Jonas Lindberg I have this one. Don't worry. It's out of the allowance. What is that?

44:47 - Jorge Lewis I wouldn't care.

44:51 - Jorge Lewis That's a valid purchase. What is it? Well, I can't even read that like it's yeah, it's like Samsung.

45:01 - Jonas Lindberg It's like the it's rum. Basically, it's just rum. Cheaper whiskey.

45:09 - Jonas Lindberg So it's 40%.

45:10 - Jorge Lewis You just have that there or any special occasion or just like, I might as well?

45:15 - Jonas Lindberg It's like, I mean, just straight up, I like the taste of Coke better with some mixed in. But also like some nights we hang out just in the living room here.

