Meet Meeting 
Fri, Jul 12, 2024

4:37 - Unidentified Speaker Am I audible? Hey, how are you?
19:32 - Eksno So in essence, I think the only files you'll need to care about for today will be creating this new coaching folder and the graph and agents for that coaching graph and introducing this new case to the switch case where it awaits the workflow from your coaching graph instead. Yeah. Then you just import it from graphs slash coaching.

20:09 - Unidentified Speaker Got it.

20:11 - Eksno Make an index.ts, which looks kind of like this and has a function to create the coaching graph.

20:21 - Unidentified Speaker Any questions? No, no.

20:25 - Hasnain sayyed Perfect. The coaching graph functionality, like what it is expected to return the output like under the switch case for the coaching graph.

20:41 - Eksno Can you repeat that?

20:43 - Hasnain sayyed Like under the switch case, like the coaching graph, what functions do I need to create?

20:49 - Eksno Like what sort of conditions it is expecting to This is the function that will be run in the switch case, just with your own agents and own edges.

21:10 - Hasnain sayyed Okay, got it.

21:13 - Eksno So it just returns the workflow that's created, so the state graph objects.

21:19 - Unidentified Speaker Got it.

21:20 - Hasnain sayyed The state graph, then the node creation, then the edges. Yeah.

21:28 - Eksno As for the agents and prompts to use for the agents, I think just kind of wing it. Make it emulate a coaching session. Don't put too much effort into it. The main point of this is to get the structure in place so that we can create tasks out of the structure and delegate it between more people.

21:51 - Eksno OK.

21:55 - Eksno Yeah, I've gone ahead and created a feature slash coaching branch for you. Do you have access to the GitHub repository?

22:05 - Unidentified Speaker No, not yet.

22:07 - Eksno I'Ll go ahead and add you. Could you send me your username?

22:11 - Unidentified Speaker Oh, yeah, sure.

22:12 - Hasnain sayyed Just a second.

22:16 - Hasnain sayyed I have pasted in the Meet chat my profile.

22:21 - Eksno Discord or Meet?

22:24 - Hasnain sayyed The Meet, Google Meet. Yeah.

22:36 - Unidentified Speaker This one?

22:37 - Hasnain sayyed Yeah. Yeah, right.

22:43 - Eksno Their invite has been sent.

22:47 - Hasnain sayyed Yeah, I got the invite.

22:50 - Eksno Yeah, so to inform you a bit while you're accepting the invite and getting the repository on your system, we use PNPN for the web projects, as well as TypeScript, Eastland, and Predia.

23:12 - Eksno Have you worked with TypeScript before or only pure JavaScript?

23:17 - Hasnain sayyed No, I have also worked in TypeScript as well.

23:20 - Unidentified Speaker Perfect.

23:25 - Eksno Yeah, do you have any questions for me now?

23:28 - Hasnain sayyed No, I will ping you in the Discord if I have any.

23:32 - Eksno Yeah, perfect.

23:36 - Hasnain sayyed Thank you very much for explaining the code in very simple terms. Thank you.

23:43 - Eksno Yeah, thank you for understanding them.

23:49 - Eksno It's always like it either takes like 10 minutes or it takes like 10 hours. First time we are heading to the new repository.

24:03 - Eksno Always a bit intimidating. No worries. We're not expecting any perfect implementation. Of course, it's your first days and weeks here. So it's going to take some time getting used to the project, understanding what it is. Because it's basically one giant, super complicated feature, which is the coaching itself.

24:26 - Unidentified Speaker Yeah.

24:29 - Eksno Are you comfortable talking with clients?

24:34 - Hasnain sayyed Yeah, fine. I can talk to the clients as well.

24:43 - Unidentified Speaker Perfect.

24:44 - Eksno I'd like to get you in a meeting with the client pretty soon so that you can discuss with him how the coaching process should work and plan that out with him.

24:56 - Unidentified Speaker Yeah, fine. Great.

25:00 - Eksno Have you used Read.AI before?

25:04 - Hasnain sayyed Which one?

25:06 - Hasnain sayyed Read.ai. Meeting.

25:08 - Hasnain sayyed No, in the previous meeting I have been connected with that technology. It basically translates all the meeting conversation into a text form. Yeah.

25:23 - Eksno When you're doing meetings, which you are handling yourself with, could you please include read.ai in the meeting so that you can send the read.ai notes to us and we can watch the meetings? Yeah, sure, sure.

25:38 - Hasnain sayyed I will add that plugin to my meeting now.

25:42 - Unidentified Speaker Perfect.

25:46 - Hasnain sayyed And also, by the end of the day, I will be telling you my working status, like how much I have implemented.

25:57 - Eksno Perfect.

26:01 - Eksno I'll invite you to the partner Discord. That's where we have our conversation with the clients. There you should be able to post your updates in the public channel. We have a public development channel with the clients because clients really like it when they see that work is getting done even though they don't understand anything about what's being talked about.

26:31 - Eksno Just tell me when you've joined and I will give you the team role.

26:36 - Unidentified Speaker Yes. It's loading.

26:46 - Eksno you Are you able to join the Discord?

27:45 - Hasnain sayyed Yes, just a second.

28:03 - Hasnain sayyed Yes, I have now been added to the Discord. This is working very slow at my end.

28:12 - Unidentified Speaker Like the internet? Yeah, internet.

28:17 - Unidentified Speaker OK.

28:21 - Eksno Yes, I have been added.

28:23 - Eksno There.

28:24 - Eksno You should now have access to the channels too. You can see basically at the top of clients where you have a depth Inside there. There's a depth of where you should become Conversing about about us about the project that's updates and everything like that I Should I go back just more of the main channel where we speak and with the client?

28:45 - Eksno And the others, you don't have to worry too much about yet.

28:51 - Eksno Inside the HashtagAdapt, could you write an introduction message, just introducing yourself to the others, including the clients, as well as saying that you're going to be working on the coaching graph?

29:03 - Unidentified Speaker Yeah, sure.

29:05 - Hasnain sayyed HashtagAdapt, right?

29:06 - Unidentified Speaker Yeah, HashtagAdapt.

29:09 - Eksno In that message, you can also ask Kikun if he'd like to get on the meeting and discuss how the coaching graph should work. Yeah, fine.

29:20 - Hasnain sayyed I will put up the introduction about me here soon.

29:24 - Unidentified Speaker Yeah, perfect.

29:30 - Eksno Also, if you don't mind, it would be nice if you added your photo on Discord as a profile picture. Yeah, sure.

29:37 - Hasnain sayyed Now I will be adding.

29:44 - Eksno Yeah, is there anything else then?

29:47 - Hasnain sayyed No, I will text you whenever I get stuck.

29:52 - Eksno Oh, I totally forgot one thing. We use a virtual office platform called Gathertown. Have you ever heard of it? No, actually not. It's basically a virtual office where you all have your own desks, and you can walk up to each other, which instantly starts a meeting, as well as chat with each other. And it's a pretty cool application. It looks kind of like a video game.

30:23 - Hasnain sayyed Great, great. I would love to connect with that.

30:27 - Eksno Yeah, I'll send you the link right now.

30:32 - Eksno Oh, that was the link that did not copy correctly.

30:52 - Eksno I sent you the invite link.

30:54 - Eksno Yeah, I got the link.

31:57 - Hasnain sayyed Why it's not logging? Yes, I joined the group.

32:23 - Eksno Yeah, so while you're on working, we'd like you to be on GatherTown because then we can see when you are online and we can always walk up to you to start a meeting if we need to.

32:37 - Unidentified Speaker Yeah, sure.

32:39 - Eksno It's kind of to emulate that instead of being in an actual office where you can kind of just go over to another guy's table and start speaking with them without having to go like, hey, do you have time for a meeting? Yes, I have time for a meeting. When would you like to do the meeting? All of that. You can just walk up to their desk and stuff.

32:57 - Hasnain sayyed Yeah.

32:58 - Unidentified Speaker That's great then. Yeah.

33:17 - Hasnain sayyed Okay, then I will start to work and I will update you whenever I get finished.

33:24 - Unidentified Speaker Yeah, perfect. I'll see you then.

33:27 - Eksno Good luck.

33:28 - Unidentified Speaker Yeah. Thank you very much.

33:29 - Hasnain sayyed Yeah.

33:30 - Unidentified Speaker Have a great day.

33:31 - Eksno Have a great night.

33:32 - Eksno Bye.
