Meet Meeting 
Mon, Jul 1, 2024

0:09 - Jorge Lewis I'm dead. She... I'm dead.
12:41 - Jonathan Phillips No. I mean, that was pretty much what I envisaged on the screens that I had almost with a whoever was not reading at the moment, but talking at the moment. You had their avatar and you had their content.

13:02 - Jonathan Phillips There's different ways of doing it. There's no necessarily right way. And until we get to the point of starting to work out what the best user experience is, you know, we can't just say now this instance that it's going to be that way. I know obviously you've got to think in advance of how to put it together, but we also have to think about usability and do some testing to make sure that it works because it might look pretty or might look effective, but it might completely fail as far as the communication method.

13:33 - Eksno Yeah.

13:36 - Jonathan Phillips So obviously we have to have a target and go for something. We have to have an idea of what we want, a concept, but we have to keep it quite loose until we then work out the best way for it to work for the user. Because obviously the user is the person who's going to be using it and paying for it. And if it doesn't work for them, it's going to fail.

13:56 - Eksno Yeah. You you I'm very confident the UI, like how it will work, will be one where it feels like the user is in a room or a group chat with a bunch of agents. I don't think we should separate them into different chats. I think that would actually make our job easier. Quite a lot harder, because then we have to make a really good UX to make it obvious whose chats you should go to, and a lot of like that. Meanwhile, we've already proven, we've already created, like, for example, IT, now, where you are chatting with multiple agents.

14:29 - Jorge Lewis Yeah, but just an idea of how they are solving the problem with the user not kind of is one solution is summarizing the turn of the bots. So if the bots have a, let's call it a turn, that summarizes that turning, these are the main points that you need to reply to. Another solution could be to convert to voice all the messages and play them using different voices. That way, what you need to write to do is listen. The text that you write is the same, but behind the scenes, there's a voice playing. We're not behind the scenes of some simple stop or pause the play button. And then, yeah, I feel like one of those two or both works as a kind of solution if we figure out that's the case where the user is just not able to digest all the info. And we can also just tell the bots, hey, don't reply with paragraphs.

15:33 - Jorge Lewis Usually you don't reply with paragraphs when you're in a group setting. In a conversation.

15:42 - Jorge Lewis Yeah, cool. We should wrap it up, it's getting pretty late. So anything else that's probably, that isn't going to be in the brainstorming session next time, next Thursday?

16:01 - Jorge Lewis And for QM, we can discuss the LMS sometime, I'll let you know on text tonight.

16:07 - Jorge Lewis That's good.

16:08 - Jorge Lewis Cool, thanks so much for your time.

16:13 - Jorge Lewis Hope to see you guys soon. Take care guys. Have a good day.

16:17 - Eksno And you. Bye bye. Have a good day. Bye bye.
