Meet Meeting 
Mon, Aug 5, 2024

1:40 - Jonas Lindberg How are you doing?
12:06 - Jonathan Phillips Now that makes sense. It gives us a good foundation for understanding at the same level, which I think is important. We all think that we see the same thing as each other, which we don't. Yeah, exactly. It's nice to at least have a vision and an understanding of what everyone else is seeing. So that's cool. It's cool.

12:26 - Jonas Lindberg Yeah, I'm glad to hear you like it. Do you have any feedback or anything? Because this is very in the vein of what you're doing professionally, right?

12:37 - Jonathan Phillips Yeah, what I'm very wary of is me wading in now and saying, do it like this. How about this? That's not the way it's going to work because it basically devalues what you've done because I think it's a really great start. So what I'll do at the moment is I will go away, have a little think, read the structure again, look at what you're doing, and I will give some feedback. And then we can either incorporate that in the workshop or it can be incorporated after the workshop for the next time it's done. So what I think is Maybe an optimum way forward, but I certainly don't want to diminish what you've done because it's excellent So no no absolutely not like you're working in this industry for so much longer than I have

13:25 - Jonas Lindberg like This is just what I've diagrammed throughout yesterday night and today up until now like I'd love your feedback on it But the most important thing, irrespective of the detail, is that you're thinking this way.

13:38 - Jonathan Phillips And this is the way to start any project off. It's the way to align ideas. It's the way to make sure everyone's moving in the same direction. And that is key. So how we do that, that's semantics. That's something we can discuss. But the key thing at the moment is that we are starting this the right way. So that's cool. Nice. Thank you for that.

14:01 - Jonas Lindberg Yeah, that's, that's really all I want to bring up in this meeting. It's why I wanted it to be more one on one because it's like mostly just between you and me as I'll be the project manager and you'll be the project owner and didn't want to waste like, like mentioned that

14:17 - Jonathan Phillips we have six guys in this meeting it's like multiplying each hour by I didn't realize that this was what we're going to discuss so this is perfect we've done it which is fantastic and I'm glad we've done it and it can only go from strength to strength now because it's all about everybody having the same outlook. So what we've had I think so far and I think what you suffered with with Kuhn and Adapt at the beginning was everybody had different thoughts about what they were trying to do. And it's not easy. We've got so many different conflicting things. Everybody's different to start with. We've got different levels of knowledge. We've got different cultures. We've got different languages. It's not easy. It really isn't easy. So I think this is a great idea to actually align and it can only get better. So that's really cool. Yeah, fantastic.

15:12 - Jonas Lindberg Then, yeah, just to give you an overview of like how I'm planning to move forward with Intelligent after the this workshop, of course, starting with the mission vision workshop, the one we're running currently, the mission is less participative, because it's just how you came up with their idea but of course we're going to get everyone's interpretation of that and discuss on that afterwards and the vision. After this workshop I want to move on to creating like a roadmap workshop where we define the high-level roadmap of where you want the projects to end up. So basically, if the mission is the where we're at currently, or how what made you want to create this and the vision is where you want to end up the roadmap should fill in the in between so that we can start like building upon it, get a good foundation, not start with the windows.

16:04 - Jonathan Phillips Absolutely, no it all makes sense, it all makes sense. A lot of the success of a project isn't necessarily going away and creating something, it's making sure the team work together because that is absolutely essential and everybody understands what they're doing and if people are going away doing different things and coming back together and going this doesn't align that's where you start to waste time and become becomes more difficult but I think we're on the right road here now and I think you've you've now grasped as a group of really young intelligent developers that there's a lot of structure behind how to move through a project and it's a massive learning learning curve for everybody. So when you start to do this in life, you think, wow, there's so much I need to learn. And most of it is quite simple and obvious, but it's only simple and obvious when you know it. When you don't know it, it doesn't exist in your head. So I think as a group of developers, I think this will be a great foundation for every project you now move forward with.

17:05 - Unidentified Speaker Yeah, absolutely.

17:07 - Jonas Lindberg That's what I'm hoping.

17:09 - Unidentified Speaker Excellent.

17:10 - Jonathan Phillips Okay, so I will go away, I'll have a quick read, I'll look over, I'll feedback, and we can take it from there. Yeah, awesome.

17:19 - Jonas Lindberg Yeah, I hope we'll see each other tomorrow then. Yes. Let's get this running quickly.

17:25 - Jonathan Phillips Perfect, perfect, excellent. All right, thanks for your time Jonas. Much appreciated. Yeah, thanks. I'll see you.

17:30 - Jonas Lindberg Bye-bye. Bye.
