comms management & adapt demo 
Tue, Jun 11, 2024

0:00 - Jorge Lewis Can you hear me?
25:17 - Unidentified Speaker It's amazing.

25:23 - Jorge Lewis So yes, the admin page looks like this now. So you can review the responses. So this is the top dropdown is for you to select which user you want to go through. So let's just say mine.

25:35 - Jorge Lewis Let's say this response wasn't that good. You can click on it and you can select if it was a good or a bad response. If it was good, it takes us to this page where it's just the form. So this was the response we deemed as impressive. What was good about it? Where should the conversation... I think this part, I think we were supposed to ask you, but we didn't. Should a good, impressive response have a following field here?

26:01 - Cuan Mulligan Let me ask JP and Ira from this, actually. So the reason why I came up with this idea was not just the response, but where do you want the conversation to go after that response? Is there a particular direction you need to take it away from where you think you're going at the moment?

26:18 - Cuan Mulligan For example, let's say someone says, oh, I didn't do my walk because my kid went to hospital. And they said, oh, I'm really concerned to hear about that. That's a good response. But where do you actually go next? Do you go back to the previous point? Or would you say, actually, given this is a highly sensitive topic, do you actually now want to say, shall we pause this check-in and come back to you tomorrow?

26:46 - Cuan Mulligan It's that sort of stuff. That was the point of the follow-on. So you've got the immediate response, which is good, which could include a follow-on. But if it doesn't explicitly have one, the follow-on was, as a person, this is where I would go next.

27:01 - Arif Harbott Yeah, OK. That makes sense.

27:03 - Arif Harbott Yeah, it's probably.

27:07 - Cuan Mulligan Up to the user you pose the question. Yeah, I think you're right. Are you okay to carry on today? Or do you want to just pick this up again tomorrow with the clear ahead? Yeah Because I'd imagine doing a marketing thing there's particular Sort of non-logical next steps that jp goes. Uh, if I saw that I'd want to go left or I'm like, oh fuck I would have gone, right?

27:29 - Jonathan Phillips Yeah, that's the communication of your expertise completely that that's it's imperative that we direct them so that they don't decide what to do themselves, so to speak.

27:47 - Jorge Lewis Language models are very, what they do is predict the next set of text. They're very bad at skipping a step and going from the results to Like, if they're given the endpoint, it's very hard for them to try to reach it through messages. They usually just go straight to that point. So we'd have to, we should gather the data right here, we should gather the data, and we'd later end up finding a way to make it in a way that the language model would enjoy using.

28:19 - Cuan Mulligan Is it possible, for example, let's say you're running a workshop, And that workshop could be broken down into, have you ever heard of a business model canvas workshop?

28:31 - Jorge Lewis Canvas workshop for the business model.

28:34 - Cuan Mulligan Yes, a business model canvas is like a 12 box diagram of different steps. And there's a particular, there's an effective way that you travel through those steps. And so is there a way that we can create those steps that they must be finished. And then the steps must happen in that order, but the journey to go from step one to two is what's organic, but you have to get to two before you can start talking about three. Yeah.

29:05 - Jorge Lewis Yeah. That's actually something similar to what we're doing for, for these sub modules. Cool.

29:16 - Jorge Lewis So this function here is to select the next speaker within the check-in cycle. So I've given it the standard check-in cycle looks like, The supervisor, he requests user tracking data, the coach gets it from the supervisor, the data analyst gets user from the tracking data, and then tries to provide useful insights. The coach uses this to create some coaching, and it's back to the supervisor. So giving it an example of the orders that we want is usually enough for it to understand how things go. And then sometimes, depending on how well we prompt and the examples we give it, it'll be able to do it pretty well, in between, I mean. Going from one to another, it does a good job.

29:56 - Cuan Mulligan Those sort of five points, I'm sorry, I think from an IntelliAsian point of view, being able to see those and add to them or change the order of them, I think is going to be imperative.

30:07 - Jonathan Phillips Sorry, excuse my ignorance, where are they sitting, those five points, as far as, it's in the code, obviously, at the moment, but where, as far as a user interface, is it part of a hard-coded prompt or is it something that's modifiable?

30:25 - Jorge Lewis So it's modifiable. We can bring it to the front end and bring it here. But this is a simple one where there's no variables. But something more complicated like this one where we have variables like a profile ID. Or actually, let me go. Yeah.

30:53 - Cuan Mulligan I want all of these aspects of a prompt to be in an admin screen that we can tweak and modify.

30:59 - Jorge Lewis Yeah, so we need to figure out the best way to do that because it's obviously possible. Just what's the best way? I'm thinking the best way is just to use So you can see here, we give it a variable. This is a variable here, userInfo. And at the bottom, we give it as the actual value.

31:22 - Cuan Mulligan Sorry, I can't see your screen anymore. Is it just me? No, I've lost it as well.

31:27 - Jorge Lewis Oh, for just now or the whole time?

31:30 - Cuan Mulligan No, just now. Just now.

31:34 - Jorge Lewis Let me know.

31:38 - Jonathan Phillips Yeah, we're back.

31:42 - Jorge Lewis OK, so this part here, so this is a prompt for creating an agent. So we're passing it the user info, which is things like name, those things, right? It's given as a variable using the curly brackets. And then we set the value down here in the code. So we could, on the front end for that, make the curly brackets as a keyword for variable. And we need to tell you guys to not change those. That's the simplest way I can think of as of now. Later down the line, to make it more intuitive, we can make a drop, like an insert variable type of thing. But I don't think there's a need. We can use double curly braces if that's more intuitive and obvious.

32:20 - Cuan Mulligan I would just create a CRUD screen with those fields in it that we can edit. And then at runtime, you pull that down.

32:39 - Cuan Mulligan I think the risk of going into code and changing something accidental is way bigger. So anything that's changing stuff, I would want to control the experience just to be safe.

32:55 - Jorge Lewis Yes, the only one of the problem for the crud table you'd be so we would assign the variables, right? On the UI. But the value would have to be assigned later down the road.

33:11 - Cuan Mulligan Once you spin it up, that will pull down the latest value, and then we'd have to have some form of... If you changed it, it would have to refresh. Let's say you changed the personality variable. It would have to then take that new personality, so maybe there's a restart, a reboot, refresh, whatever. There has to be a way of pushing that change into the bot context so that it takes that new context into consideration going forward.

33:43 - Jorge Lewis Yeah, the concern is that so user, so let's say if we were to just drag this into a front end, we have the left side of the screen can be the prompts with the right side just being the variables. We can't assign the value in the admin page. It has to be done behind the scenes. So it has to follow a certain key. For example, the key would be user info.

34:12 - Cuan Mulligan I don't think we need to fix it now, anyway.

34:14 - Cuan Mulligan Yeah, we can go into that.

34:16 - Cuan Mulligan So when will this be deployed? Because it looks, you know, it's great to see this. It looks like it's actually, there's a whole load of stuff that's happened. When can we start to play?

34:26 - Jorge Lewis I mean, I could try pushing right now, if you guys want to see if that will work or not. Actually, never mind, we have a problem with Vercel. They've changed their pricing or their integration with GitHub. Only Jonas, oh, wait, no. Let me give it a go. Only one person from the accounts can now merge into Alpha. Let's find out.

35:07 - Jorge Lewis But I mean, yeah, I think Jonas is off for today. But if he's able to respond to my message, I can get it done myself.

35:18 - Jorge Lewis Yeah, it doesn't let me.

35:22 - Cuan Mulligan How come he's away today? Sorry, I didn't know.

35:25 - Jorge Lewis Sorry. Jonas, I think he's just off for dinner with his girlfriend's family.

35:36 - Cuan Mulligan Okay, so if you can get a copy of it and let us know when you can push so we can test it because...

35:42 - Jorge Lewis He's off for my day. His day starts at the normal time. I start late.

35:49 - Jorge Lewis I can get him back on.

35:54 - Jorge Lewis But if this doesn't have any issues, like with the actual connecting with the front end when it's merged, then it should be...

36:03 - Jorge Lewis 10 but it takes as long as Jonas can respond.

36:12 - Jorge Lewis So we've looked at the good response. Let's take a look at the bad one. Similar thing.

36:18 - Jorge Lewis The system prompts.

36:23 - Jorge Lewis So now we've separated the prompts into different aspects to give you guys some more room to work with. And this will later be the whole list of prompts that we're seeing that aren't added, like the system prompt for agents and things like this. So we'll add that later down the road. As of now, you can start playing with these. Yeah.

36:51 - Jorge Lewis So does that include everything you guys were wondering, or have we missed anything?

36:59 - Cuan Mulligan I mean, yeah, we need to figure out what we can do. And yeah, if you can send over the latest URLs that we need to play with, and then we can start playing with stuff and giving feedback, that'd be great.

37:13 - Jorge Lewis Okay, sounds good. And then just to solve the issue of the daily progress is we'll start moving a lot of our tech chats into your guys' chats, or maybe we'll make a separate channel for us to put the tech-specific stuff, and we'll start just chatting there. Sound good?

37:30 - Jorge Lewis Yeah.

37:32 - Jorge Lewis Cool. I'll send the links right now, and then I'll let you know when they're playable.

37:41 - Jonathan Phillips Just just let you know as well the payment went through today so it should be in your account now Sounds good.

37:48 - Jorge Lewis Thanks so much I hope you could I've hope you've been able to see how we're able to apply some of the coins a lot of cool and stuff to To the most yeah that we're using well behind the scenes. We're using line graph. It's a pretty pretty new framework for for just LLMs. It uses a graph structure, which makes it super modular and flexible. I love it so far. It was different to what we were previously using, which was another framework by Microsoft Autogen, which was a lot more abstracted and less easy to work with. So this one hopefully gives us a lot more just grit and speed. Excellent.

38:26 - Cuan Mulligan Cool you.

38:27 - Cuan Mulligan Thanks guys so much for your time. Thanks a lot. Bye-bye.
