Meet Meeting 
Sat, Aug 24, 2024

0:00 - Jonas Lindberg Okay.
13:06 - Cuan Mulligan I think this means because there isn't a second step, it doesn't know what to do. You Yeah.

16:24 - Cuan Mulligan And it's sort of crashing now. Every time I try to send something, it's not working. So I'm wondering whether we need to.

16:33 - Jonas Lindberg That's because it's advancing into a step that doesn't exist. OK.

16:39 - Cuan Mulligan So if I create a new step, which is basically establishing the users why I think what I had started to do was start copying and pasting this into notes rather than... Yeah.

17:04 - Cuan Mulligan But anyway, so I'll just say, okay, seek to understand why the user is signing up to the ADAPT program and what they want from it, why it's important to them. So the icon of the step is for the agent to be able to assess something, right?

17:45 - Jonas Lindberg Yeah, it's for the agent to assess when to call the advanced step, which goes on to the next step.

18:34 - Cuan Mulligan Okay, good. Here. Trash.

18:49 - Jonas Lindberg I'm going to be switching over to laptops, so I won't be hearing you for a second.

19:05 - Jonas Lindberg Can you hear me?

19:25 - Cuan Mulligan Yeah. So this is an odd question. This feels like it's been trained on, like your values or like, I don't know where this message came from and why it's doing that. So how do I tweak this?

19:45 - Jonas Lindberg I think tweak the instructions in the step. For the example, the instructions in the step is pretty like short, but I think you can expand it to be like quite a long piece of text inside the purpose. The purpose is kind of the whole instructions of how to go through it.

20:05 - Jonas Lindberg Um, but can I see the question again? Let's start by understanding what truly drives you think about the time when the culture. Yeah. It's not really in line with what instructions you've had for the staff.

20:24 - Cuan Mulligan Yeah. And when I did this last night and I had a second step, it was starting talking about what are your core values. Yeah. So it seems like it's taking, it's got an idea of what a value workshop is as opposed to this workshop.

20:40 - Jonas Lindberg So what I think is happening is because of the bug that's currently present, when you click New Step, it saves properly the new step of the default instructions, which is nothing instructions, basically. So it just kind of makes up itself. So I think it's got to do with the bug that I'm trying to fix.

21:01 - Cuan Mulligan Well, let me jump off then. And you crack on. Just hit me when you've got that bug fixed, and we can try and reconnect.

21:08 - Jonas Lindberg Yeah. Perfect.

21:11 - Jonas Lindberg Yeah, cheers. Bye bye.
