Discussing Graph Design Pt 2 
Fri, Jun 28, 2024

0:02 - Jorge Lewis Disabling echo.
10:39 - Jorge Lewis Who will the analyst respond to?

10:42 - Chinmay Pandya The coach.

10:44 - Chinmay Pandya So can't we put the analyst before and then pass the data from analyst to the coach?

10:53 - Jorge Lewis I see what you mean. Yeah, okay. But then the reason I made it like this is because we need to solve the problem that the coach should have a conversation with the user. If there's a data analyst in the middle, that shouldn't work.

11:05 - Chinmay Pandya Data analyst will only use- We can have two edges, like we can have an edge with the coach also and an edge with the analyst also.

11:13 - Jorge Lewis Can you show me?

11:16 - Chinmay Pandya Yeah, just move the analyst a little bit up.

11:21 - Jorge Lewis I think you can show me as well, like this.

11:24 - Chinmay Pandya Oh, I haven't.

11:25 - Unidentified Speaker OK.

11:27 - Jorge Lewis Wait.

11:29 - Jorge Lewis Oh, yeah.

11:31 - Jorge Lewis Like here?

11:53 - Jorge Lewis yeah so this can be this and this can be this so if the collector got data from the user Yeah. How about we pass it to the analyst and then he passes on the analysis to the coach?

12:35 - Jorge Lewis Maybe instead… Okay, let me… Oh, is there another graph I'm missing? No, okay.

12:47 - Jorge Lewis All right, I'm creating one below to demonstrate another. And also, someone killed the analyst and didn't bring him back.

12:59 - Jorge Lewis All right, so what I'm thinking is.

13:17 - Jorge Lewis Wait, I'll also create a graph Somebody killed the user you Maybe my mic is better, but then you'll have the echo, which I'm trying to deal with.

14:13 - Jorge Lewis So hard to speak.

14:35 - Unidentified Speaker Error.

14:43 - Jorge Lewis I got an error.

14:46 - Jorge Lewis So for my graph, can we all take a look at mine for a second?

14:56 - Jorge Lewis Oh yeah, just refresh.

15:01 - Jorge Lewis Oh, you guys are busy making yours.

15:02 - Jorge Lewis I think just let everyone finish first, and then we'll go for all of them.

15:32 - Jorge Lewis You may want to mute.

15:45 - Jorge Lewis you.

17:20 - Jorge Lewis Since it's not a node, it's just the edges, I can label the edges rather. Would that work?

17:26 - Jorge Lewis Yeah.

17:27 - Jorge Lewis Okay, cool.

20:10 - Chinmay Pandya I'll be back in a sec.

21:46 - Jorge Lewis Alright, I should be done with mine, so let me know when you guys are done.

22:12 - Jorge Lewis Bro, text width 80 bro.

22:24 - Jorge Lewis So yours isn't the graph. It's just a different diagram.

22:28 - Jorge Lewis Yeah, it's a depiction. It's a flowchart. So out of that flowchart, hopefully one of the graphs that you guys make complies and can fulfill it.

22:39 - Unidentified Speaker You know how hard it is to talk while listening to yourself?

22:46 - Jorge Lewis Yeah.

23:01 - Jorge Lewis Yeah, your one is good. I think my one... Let's wait for Chinmay to get back. All right, Genesis, do you want to take a look at mine for now?

23:34 - Jorge Lewis Hmm.

24:04 - Jorge Lewis Oh no.

24:10 - Jorge Lewis What's a good song about that guy's gonna be?

24:59 - Jorge Lewis Chinmay abandoned us, man.

25:02 - Jorge Lewis Oh.

25:06 - Jorge Lewis Nevermind.

25:10 - Jorge Lewis What happened?

25:12 - Jorge Lewis Welcome back. I'm done with my graph. Jonas is done with his diagram. I don't know about you.

25:21 - Jorge Lewis Yeah, I'll just make some changes and then let you know.

25:25 - Biwas bhandari Cool, cool.

25:28 - Biwas bhandari But I'll send you a photo, I've done it in my copy. It's a little faster.

30:01 - Jonas Lindberg B1, or how do you pronounce it? Biwas?

30:10 - Biwas bhandari You're muted.

30:12 - Jonas Lindberg What did you say?

30:15 - Biwas bhandari How do you pronounce your name?

30:17 - Unidentified Speaker Biwas.

30:17 - Jonas Lindberg B-I-W-A-S. Biwas?

30:19 - Unidentified Speaker OK.

30:20 - Biwas bhandari Are you in the Excalibur?

30:23 - Jonas Lindberg Where?

30:25 - Jonas Lindberg In the Excalibur.

30:28 - Chinmay Pandya No, not right now.

30:32 - Jonas Lindberg Could you send it to him, Jorge? Yeah, send it to him. Yeah, new lang chain devs. Where? Wait, no. Where is it? Oh, it's in the Google Meet chat. OK.

30:54 - Jonas Lindberg Yeah, if you could join it, and just zoom out and go a bit down right, and you should find a bunch of graphs for modeling.

31:09 - Biwas bhandari Can you show me where it is? I cannot find it.

31:18 - Chinmay Pandya OK.

31:46 - Jorge Lewis I've seen the link in the Google Meets. Like, I'll try. Can you not see it?

32:01 - Biwas bhandari Well, I followed the link and I'm only seeing two graphs here.

32:06 - Jorge Lewis Oh, scroll down.

32:07 - Jorge Lewis First, two neural networks will be created.

32:13 - Jorge Lewis Jinro was trying to flex, so he sent us that one.

32:24 - Jorge Lewis You actually pronounced my name right.

33:02 - Jorge Lewis So usually I don't have any trouble, but I don't know if it's I think it's the microphone maybe Yeah, my name is a bit unique so Typical indian names you might know like raj Yeah, alexa, vanid all that ass Malhar, Fancy.

33:35 - Jorge Lewis But, Bablu, you're from Nepal, right? So how do you guys speak the same, both Hindi?

33:42 - Biwas bhandari Well, I watch a lot more Hindi movies, so...

33:45 - Jorge Lewis Ah, okay, okay.

33:48 - Jorge Lewis Both Nepal and India are Hindi speaking countries.

34:03 - Jorge Lewis Thanks to my fans, I learned also nice words.

34:09 - Chinmay Pandya Yeah, I know which words you know.

34:16 - Jorge Lewis The only word that I know that isn't like a bad word Yeah, it's like an exclamation like bro Yeah All right, let me know when you guys are done I oh I'm useful very nice making oh Okay, I don't want to stretch out this meeting too long because just because when people are in meetings too long, they start to get tired really easily. And when you get tired, you communicate terribly. So we can either take a break now and come back in like 10 minutes.

34:53 - Jorge Lewis And then continue for like 30 minutes. I don't want to I don't want to stay on call too long, just throughout the whole day. So how about that? You guys can finish your graphs, work on them if they need working. We can come back in 10 minutes, take a look at all the graphs, and kind of merge them into one idea. And then from there, we can discuss the plan moving forward. Sound good?

35:11 - Chinmay Pandya Yeah. All right.

35:13 - Jorge Lewis Perfecto, guys. I'll see you guys soon.

35:23 - Jorge Lewis They have a concert outside, I don't know. We're at the office. I don't mind. It's just annoying by calls. Alright, I'll see you guys soon.

35:35 - Chinmay Pandya See you guys soon.

35:36 - Jorge Lewis You're closing the meeting or it's still on?

35:40 - Jorge Lewis It says it's ending in 25 minutes. I mean, I could keep it open. We'll see.

35:45 - Jorge Lewis If we're taking a 10-minute break, can you just close it and then send a message or send a new meeting?

35:50 - Biwas bhandari Yeah, we'll see.

35:58 - Biwas bhandari Pleasant.

45:18 - Chinmay Pandya you you
