Discussion on IP 
Sun, Aug 4, 2024

0:00 - Jorge Lewis You're a dick.
22:22 - Jonathan Phillips It's also tricky because like you say, what level do you, do you include as the IP? So for example, We're discussing there about which category or industry that the platform is used in. However, we might say the IP is on the chatbot. So you guys can't sell a chatbot to anybody. And then it gets to a silly level where you then can't run your business. So, and even if we have an IP in place to protect what you've done, you could build it slightly differently and say, Hey, that's not the same. Thing. So it does come down to a level of understanding and a level of collaboration and I think we need to maybe discuss that a little more in some areas but I do think that we started well in the relationship and there's no reason at the moment to change the course what we're doing maybe we can tighten down some of the IP contract but ultimately there's always a way around something so it's just a I think a discussion on

23:26 - Jorge Lewis how we're going to conduct ourselves I think is the key thing yeah yeah I agree with that yeah So how we can move forward then is, what we can do is do more research on these contracts, what's kind of the norm in the business and the usual pitfalls for both sides related to those contracts. And I think we'll also consult with an IP lawyer and see if they can help us.

24:04 - Jonathan Phillips In my experience, a lot of the projects I've worked on, what happens is the bigger organisation come in with their lawyers and say you can't do anything at all and then the smaller organisation tries to negotiate looser terms and then you come to an agreement in the middle and it does depend on how big, obviously with guys and us there's no big company involved but ultimately the the bigger the lawyers you suggested before and the more knowledgeable IP rights lawyer they're the ones who hold the power ultimately because they're the ones who can put the loopholes in and can wiggle out of things let's say so we can put as much down as we want on paper which I think we should and I think we should because at least it gives us an understanding then to start from but ultimately it is based on trust While we were speaking, I just had a little idea.

25:03 - Jonas Lindberg I haven't searched into it at all or anything, but I just thought, what if we just splice one lawyer that mediates with us and we pay that lawyer just equally? And then have him come up with the fairest clause, basically. I wonder how that would work, where both of our parties present their own concerns, and then the lawyer helps come up with the fairest clause possible, where both parties are happy.

25:36 - Jonathan Phillips That's a good scenario. Let me speak to Kieran first because he might, he's got a little more experience with the corporate world as far as the legal aspects and then we can sort of move forward and we just want to come, like I say, to an understanding. It doesn't really matter how, where, what. We just need to be able to be comfortable that we're all covered and you guys move forward and you're happy and we're happy.

26:04 - Jorge Lewis Yeah, I think it's important to understand that on our side, the risk is very low. We have little to lose in terms of this because if we were to, there's a lot of loopholes that we can exploit, whereas for you guys, it's very risky. You guys have something that's supposed to be yours. We have built something that's supposed to be yours.

26:31 - Jorge Lewis You guys are the ones with the more risk, so it'd be definitely prudent for you guys to be looking into this. I had a point where I was going into this, but I think I lost it.

26:41 - Jonas Lindberg Give me a second. Confident to say we don't have the funds for lawyers.

26:53 - Jonathan Phillips There are lots of templates and examples online. I mean, ultimately, we don't need to be paying Too much to third parties. I think we can do some research and cobble something together That will satisfy both sides yeah, I Think it's only if any of us have a problem with anything that's documented that we then may need to get some advice on I think but ultimately there's enough out there for us to base.

27:24 - Jorge Lewis I think of very strong Piece of paperwork that we can both be very happy with I think my whole point was just to put it out there that for us, it's a matter of increasing how happy we are. For you guys, it's a matter of not risking something. I think that was just the whole point, just kind of making it, putting it out there that you guys are under the more risky position in this.

27:55 - Jonathan Phillips Yeah, I mean, it is, because ultimately, when this gets put together, I'll have spent a whole year trying to work through it and make it work. And then obviously, you want some return on that. And at the same time, You know, we want to work with you guys longer term. So we hope that there'll be no fallout, but you never know. Not all relationships go on forever. So that's the reason that there is levels of protection. And that's the reason we're talking about it. We hope we never, ever get to the point where we'd have to start to get to the point where we start to quote the paperwork. But it's there for your protection and ours. But ultimately, it's got to be, even though you say it's more of a risk on our side, both sides have got to be equally happy. Because if they aren't, there won't be a relationship.

28:49 - Jorge Lewis Yeah. Relationships need them to be happy, not them to be, what do you call it?

29:00 - Jorge Lewis just married because of the children.

29:03 - Jonathan Phillips Exactly. Very much so. Cool. I don't think there's anything more we can do now.

29:13 - Jonathan Phillips I will have a chat with Kerwin, and we'll take it forward. And ultimately, we'll get some paperwork in place that we're both happy with. But it's not a major deal. I just think it's something it's good to get discussed before we get going too much further, just so that there aren't any problems going forward. And I just think that helps a little.

29:37 - Jorge Lewis Yeah. No, I totally agree.

29:39 - Jonas Lindberg Yeah, absolutely. For this is something we can easily work out.

29:43 - Jorge Lewis Yeah. And it's something that we do have to educate ourselves more on as well. That was kind of what I was suggesting with consulting a lawyer because it's less so the paperwork, more so understanding where both sides stand in terms of general law and ethics.

29:57 - Jonathan Phillips Yeah. Yeah. Very much so. Very much so.

30:00 - Unidentified Speaker Cool.

30:00 - Jonathan Phillips Cool.

30:01 - Jorge Lewis So if you don't, if you don't mind, we can just quickly go over kind of the plan for intelligence. Um, since you sent that last Thursday, I believe.

30:10 - Jonathan Phillips Yeah, yeah, because I've got another 10 minutes before I've got to do some taxing for children. But yeah, if we could go over it, no problem.

30:18 - Jorge Lewis So just, uh, yeah. So you sent it, sent it a couple of days ago, past nine. So last night and as he, for the two main developers on the project, um, you've met, have you met either of them?

30:31 - Jonathan Phillips I think I did on a call. Yes.

30:33 - Jorge Lewis I mean, we met, uh, wait, no, you met, you met in a Zeef not, um, past nine, I believe. I think, maybe. So they're going to be the main developers on the project. I'm of course going to be working on the AI side. Jonas is going to be here and there, all on the dev side. So we're going to go over through the documents. You sent a lot of stuff. Thanks so much. Bye. Helpful over the time, but I think... A lot of stuff, a lot of stuff.

31:04 - Jonathan Phillips Sorry, sorry, let me say first, I don't expect you to read it all and understand straight away. What I want to do is create a level of understanding where you don't have to ask too many questions, you can always revert back to the documentation to start with. There'll be areas that you won't ask questions early doors, I understand that, but ultimately, the more comprehensive it is, the better direction you can go in to begin with, and I think that's important.

31:30 - Jonas Lindberg I'm about to create like a full-ass AI solution and like talk to your documents just to comprehend that.

31:43 - Jonathan Phillips You can stick it into AI and ask for a summary so that might be helpful.

31:50 - Jorge Lewis I went through the one document that I have gone through at the airport the other day was the document for the developers. I can't remember what was the name but A lot of cool stuff in there, you suggested a lot of additional features that are going to be really cool to implement. So what I think we're going to do, since there's so much stuff, I'm assuming there's enough stuff on there that we can go into FigJam and make a lot of visual representations, diagrams, user flows, maybe even some wireframes, and then a capabilities list. And then we can present that to you, you can give us your feedback and hopefully that kind of sets us up near the finish line since you've already articulated so much.

32:28 - Jonathan Phillips Yeah, so the reason I wanted to be comprehensive was that The problem is a benefit and a curse. This sort of project, it can creep massively. There's so much opportunity to do so many other things. So it's important that we understand where the base level is. And I'm happy to get something out that works obviously that's really important to me. I want as many bells and whistles on but I'm very realistic and we need to have something that is timely let's say because if I can get this MVP out and working It can be really important as a marketing vehicle for me because I think I can get lots of usage out of it, lots of organizations potentially partnering, etc. And then obviously we can move on to the larger model while I'm doing all that. What I don't want necessarily is just something that's flashy to show people. I want something that actually works and people can sign up to and see as a finished product. So there's a balance of getting that finished product in place and not having too many bells and whistles because that will delay it. So that's the balance we need to get.

33:46 - Jorge Lewis Yeah, gotcha. So we'll go ahead and make those visual representations. Hasnain and I are going to be working tomorrow on the AI stuff, kind of putting on paper how we think that's going to work.

34:00 - Jorge Lewis So I'm going to finish going through the documents.

34:06 - Jonathan Phillips Like I say, any questions at all, however dumb they might seem, just fire away because the worst thing in the world is not knowing exactly what you need to do. So that's what my job is, to make sure that you're fully clear. So it would be helpful if you have any questions at all, just fire them over.

34:25 - Jorge Lewis Yeah, I didn't say I have access. Oh, yeah, I have access to the right comments. So I'm gonna spam those to you.

34:32 - Jorge Lewis Sure, sure.

34:34 - Jorge Lewis Cool. There you go, Jonas.

34:37 - Jonas Lindberg Yeah, just to circle back to what I was going to mention earlier, quite frankly, after Kuhn set me straight in terms of my project management skills, I've been looking into it a lot, reading up on it, and watching some videos on how to get this set straight. There are a few workshops and stuff I want to get done moving forward with this project, which should hopefully help speed us up with getting it started so that we're not stuck in diagramming hell for the next five weeks.

35:12 - Jonas Lindberg Yeah, the diagramming and analyzing, all of that stuff, hopefully get to development while we're still able to be planning some stuff, you know?

35:25 - Jonathan Phillips While you're still young, yeah. Yeah, while we're still young.

35:31 - Jonas Lindberg Yeah, so just some of the things that like very general things I want to get done is like a mission statement workshop, vision workshop, getting a proper roadmap established because the thing you want mentioned with like bells and whistles, I think that's all solved if you make just a general roadmap prioritized based on like what features you want, then you can just like see how long the timeline is and just cut off spending at any moment when you're happy with the features, or start it again if you want to expand with the lower priority features and all that fun stuff. So we won't have to scope up again and again and again throughout this project. And yeah, we'll be able to have a more dynamic, what's it called, specification.

36:20 - Jonathan Phillips Completely agree, completely agree. It's so important that we get that understanding of where we need to be because the distractions are immense because it's easy to get excited when you start to develop something both on an idea perspective from my side and on a code development from your side to start to think, oh, I can do this, and I can do it this way, and I can do it that way. And that's what really destroys the timeline. So that's something that we've, on both sides, we've got to be very patient with, and we've got to make sure that we are very focused on what we need to do.

36:54 - Jonas Lindberg Yeah, absolutely. I'm aiming for this coming week to try to get some of those workshops going and everything. So could you share me your schedule, just so I know when you're available?

37:08 - Jonathan Phillips Yeah, I'm pretty flexible. I do have things all over the place dotted. They can be moved. So our time is down as an important time. So whatever time you have, I can try and work around it.

37:28 - Jorge Lewis What time do you wake up and what time do you go to sleep at?

37:35 - Jonathan Phillips Yeah, so I'm available I would say from 7 a.m. Time all the way up to 11 p.m. Let's say, but it does depend on the day. I mean, I'm not saying every day, but I am quite flexible. Yeah, yeah.

37:56 - Jonas Lindberg Okay. Yeah, sounds good.

38:01 - Jonas Lindberg All right. Yeah, that's it for me. That's what I wanted to bring in.

38:07 - Jorge Lewis So I think, yeah, Jonas, we can just hop in a call after this and go through some things.

38:12 - Jonathan Phillips Sure. Thanks, guys. Great talking to you, JP.

38:16 - Jonathan Phillips Thanks for your time.

38:19 - Unidentified Speaker Likewise.

38:19 - Jonas Lindberg Take care. I'll be seeing you now. Bye-bye.
