Discussing Stori architecture 
Thu, May 16, 2024

0:01 - Jorge Lewis Hello. Hey, how are you?
28:47 - Cuan Mulligan Maybe, but I mean, the principle here is can we run a workshop? Cause everything's basically a meeting or a workshop at the end of the day. And can we have a bot guide a person through a process? Can we have other bots participate? Can we have other bots watch, observe what's doing, and contribute? So that's the exam question. It doesn't really matter, the meeting topic, because once you prove that this dance can work, this interaction can work, then you just change the scope. You may have more bots, or it's a different process, but it's fundamentally the same building blocks.

29:26 - Jorge Lewis Yeah, the reason I'm asking is just because I can't see the dancing that you probably are. And that's just lack of, you know, dancing.

29:36 - Cuan Mulligan What I mean by forget about the word dancing. A facilitator is running a process. Something is said in that conversation that another bot is listening and going, you can't do that, or here's some information. Oh, I read this the other day. Oh, I do this. That's what I mean by dancing. There's a bot who's independently observing the content, the output of a bot to human engagement and contributing to that autonomously. That's what I mean. OK, yeah.

30:09 - Jorge Lewis I can see that. So do you want to continue with this example or you guys, I recommend just making a couple other examples and we can look through those as well just so that it's clear. But I do understand, I do understand now the idea you're going for. And it's, it is what I thought of, but the word dancing probably made it a little bit more abstract. So.

30:27 - Cuan Mulligan Okay, cool. Yeah. I just, I messaged JP. I'll see when he's back online. I know he's taking care of his mom now, so then we'll figure something out for Tuesday or Monday.

30:34 - Unidentified Speaker Sorry.

30:34 - Jorge Lewis Yeah.

30:35 - Jorge Lewis Tomorrow or Monday.

30:36 - Jorge Lewis Jonas and I are going to be available tomorrow over the weekend. We're going to be quite busy. We're traveling. So on Monday, we'll be back on our feet.

30:45 - Unidentified Speaker Okay.

30:46 - Cuan Mulligan Where are you going back to? Where are you traveling to?

30:48 - Cuan Mulligan We're going to Vietnam.

30:50 - Cuan Mulligan Oh, nice. So are you both traveling all the time?

30:54 - Jorge Lewis Yeah. Well, yeah, we travel together. We just started this year. So yeah.

30:58 - Cuan Mulligan Nice. How long are you going to be traveling for?

31:02 - Jorge Lewis So in, what is it? In the first week of July, I have to go back to Hong Kong. And then on the second week of July, I have to be in the US for my brother's wedding. And then I'll be visiting family in Mexico for a while. And then from there, we don't know. So.

31:19 - Cuan Mulligan Cool. All right, listen, I'll let you know when I know about JP and then we'll get that set up.

31:22 - Jorge Lewis Yeah, so just just so by the way, for the phases aspect, What is the negative thing that's in your mind when I say phases?

31:34 - Cuan Mulligan Because in my head, there were no phases. There is just the capability of having different bots. And then he would train them. So there is no phase. It's just a scope of the process.

31:49 - Jorge Lewis But then the workshop could be broken down into phases.

31:55 - Cuan Mulligan But what does a phase mean?

31:58 - Jorge Lewis It allows the bot to focus on one specific task more, more accurately.

32:03 - Cuan Mulligan Like if, for example, I don't actually know if it matters because I don't, you're using, I'm using the word dance that hasn't translated. You're using phrases, not trying to listen. What I, what I want to avoid is the sense of something being hard coded to only do something and to actually build innate capabilities that can be trained for a person to do a job.

32:29 - Cuan Mulligan Because if you basically have us, if you can give JP the ability to run workshops, and workshops have facilitator bots and participant bots, and participant bots can do different jobs. Then it's up to him to train it because then he can once you give him that capability He could say I'm doing a new workshop, right? I need a facility. I need but one facilitator type but to Market review and this is its job and we could have templates of prompts in the library so they can prime each of those bots But you're just giving Lego as opposed to

33:03 - Jorge Lewis solutions You're saying we shouldn't hardcode the bots, but the prompt of the bots is usually technically hardcoded. But you mean as in just, he can send us a revision and we can update it, or he can do it himself somehow?

33:23 - Cuan Mulligan Well, my understanding is that in the same way I'm going to have an interface to teach the bot. How is that any different to this?

33:33 - Jorge Lewis Um, it's pretty similar, but the difference is that yours is going to be providing feedback to the bot. His is probably going to be changing the actual prompt of the bot. His one's like going to be barebone at prototype. We shouldn't be trying to, if there, if the interface isn't necessary for the prototype, who's he showing the prototype to?

33:49 - Cuan Mulligan I don't know.

33:52 - Jorge Lewis Is it? It doesn't matter. I mean, yeah, if it's it's no one, then he can work with us to produce a prompt that gets good results, because we shouldn't be spending extra work trying to build the interface for for the system if that part if the initial part doesn't work.

34:15 - Cuan Mulligan Maybe.

34:15 - Unidentified Speaker Yeah.

34:19 - Jorge Lewis Anyways, yeah, so that's so Yeah, I'll get, by Monday we can start with this. Do you think JP will be good to go by then?

34:32 - Cuan Mulligan We'll see, yeah. It's not typical to run one, so.

34:37 - Jorge Lewis Yep.

34:38 - Jorge Lewis All right, cool. Well, thanks so much, Kevin, for your time. I'll get back to you regarding the contract probably going to be sent over tomorrow for Adapt. No worries. And for Story, we'll be just designing some more architecture. Probably the example would really help if you could get that. You think you'll be getting that by probably Monday, right?

34:59 - Jorge Lewis Sorry, which example?

35:01 - Jorge Lewis For the workshop.

35:04 - Cuan Mulligan I've got to see when JP's available. I'm going to let you guys know. We'll schedule a time.

35:07 - Jorge Lewis Okay. Okay. That works. Yeah. Cool. Cool. That's good.

35:10 - Jorge Lewis Thanks.
