10 Minute Preliminary Interview between Jorge Lewis and Biwas Bhandari 
Tue, Jun 25, 2024

0:25 - Jorge Lewis Okay.
12:09 - Biwas bhandari Yeah, anything else?

12:11 - Biwas bhandari Nothing. So the project will be based on BlankChain and SelfRaid.

12:17 - Jorge Lewis That's it. Yeah, BlankChain and SelfRaid. We use SuperBase for our database, by the way.

12:28 - Biwas bhandari Okay, so I think that's it.

12:34 - Biwas bhandari Can you tell me more about your team?

12:37 - Jorge Lewis Yeah, sure. So our team, we're a team of four. It's me, my co founder. We have two other developers. One of them is from Benin. One of them is from Sweden.

12:52 - Jorge Lewis So we We, the company started in August, like last August, so it's not too old. We're still growing. Um, we're currently hiring for two or maybe three more people right now. Um, so that's, that's what we're doing right now.

13:08 - Biwas bhandari You have two startups. I think one is startt.nu and AIT node, I think.

13:15 - Jorge Lewis So we're a software consultancy, so our ITNO project is our own product that we're working on, but we've put on pause because of clients that we've gotten recently. Our main thing is providing services for clients and building their products. But that was a project that we were working on when we were not too busy with clients. So it's still in progress.

13:42 - Biwas bhandari Yesterday I tried chatting with it, but it was not responding.

13:48 - Jorge Lewis Yeah, so we put that on pause. Yes, Tartino is the brand behind the consultancy. Yeah. Okay.

14:00 - Biwas bhandari So you have experience in machine learning too?

14:04 - Jorge Lewis Yeah, so I first started with game development at the very start, like six years ago. And then I did game development for a good while, and then I got introduced to Python and competitive programming. Three or four years ago. So I did those two and then in the last year I've been doing web development and some basic Python stuff here and there for scripting and automating some work. I've been doing a lot of less development myself nowadays because I'm working more on the business side of things.

14:42 - Biwas bhandari So, do you have any interest in blockchain development or Web3?

14:48 - Jorge Lewis I'm not into any of that, no, no.

14:52 - Jorge Lewis I was really busy building the business when that became popular, so I missed the phase.

14:59 - Biwas bhandari Nowadays, there is competition between Web3 and AI, so...

15:04 - Jorge Lewis Yeah, yeah. I think AI will win now. Web3 is still too new, I think. It's still a nice time.

15:13 - Biwas bhandari Most of them just started for funding. They do preceding and leave the project.

15:20 - Jorge Lewis Yeah. It's too early right now for the technology is good, but I think that there's no infrastructure. We need, we need to wait a little bit. That's cool. Um, yeah, well, I gotta, I gotta head off soon. Anything else?

15:35 - Biwas bhandari Okay, so project, when do we get started? How do we get started?

15:41 - Jorge Lewis Yes, so after this, I'll let you know on LinkedIn how we can move things forward. Most likely, we'll go through another, maybe one or two more interview rounds, some technical ones, so you can show us how you like to work and how you program.

15:57 - Jorge Lewis Okay.

15:57 - Jorge Lewis And then after that, you'll just get started on one of the projects that we're currently working on in the middle of

16:02 - Unidentified Speaker Okay.

16:05 - Jorge Lewis Yeah.

16:07 - Unidentified Speaker Okay.

16:12 - Biwas bhandari I think that's it.

16:15 - Jorge Lewis Thanks guys. It was nice talking to you. Thanks for those great questions. Yeah. Hope to see you soon.

16:22 - Unidentified Speaker Okay.

16:23 - Biwas bhandari See you soon. Have a good day.

16:26 - Jorge Lewis Have a good night.

16:27 - Unidentified Speaker you
